"Gene","lb","log.FC.mle","ub","ce","Z","cZ","pvalue","p.adjust"
"GRIK2",4.33682439580252,10.7493938015618,11.0459288029842,4.33682439580252,7.13989829568011,6.05659709050711,9.33999999999953e-13,1.39031239284051e-09
"PLP1",9.82272192211686,10.6011263008506,11.0459288029842,9.82272192211686,7.13989829568022,6.05659709050711,9.33999999999229e-13,1.39031239284051e-09
"KCNIP4",3.59548689224655,10.4528588001394,10.7864606767396,3.59548689224655,7.13989828849152,6.05659709050711,9.34000048844935e-13,1.39031239284051e-09
"SPARCL1",3.81788814331334,10.0080562980058,10.3787250497838,3.81788814331334,7.11400926172722,6.05018258678941,1.12719582220233e-12,1.44681760892873e-09
"NTRK2",3.15068439011295,9.85978879729465,10.0451231731836,3.15068439011295,7.13987290201431,6.05659709050711,9.34172560232103e-13,1.39031239284051e-09
"CNTN1",4.44802502133591,9.52618692069443,9.82272192211686,4.44802502133591,7.13828805696798,6.05659709050711,9.45004363850074e-13,1.39031239284051e-09
"RIMS2",2.74294876315715,9.48912004551664,9.78565504693906,2.74294876315715,6.79798548905127,5.73328194917604,1.06092138182497e-11,9.85056806947597e-09
"KCNQ5",4.33682439580252,9.26671879444985,9.63738754622783,4.33682439580252,7.13972847488248,6.05659709050711,9.35154596238095e-13,1.39031239284051e-09
"CADPS",1.92747750924557,9.26671879444985,9.48912004551664,1.92747750924557,4.97576605787128,3.76271597464654,6.49901001125928e-07,0.000168078049779773
"GALNTL6",3.81788814331334,9.22965191927205,9.63738754622783,3.81788814331334,7.13985003000698,6.05659709050711,9.34328011557563e-13,1.39031239284051e-09
"MYT1L",1.92747750924557,9.19258504409425,9.45205317033884,1.92747750924557,5.81316533764896,4.67653079799076,6.13024593512258e-09,2.91768797708798e-06
"ASIC2",3.66962064260215,9.15551816891645,9.56325379587223,3.66962064260215,7.1369153683133,6.05659709050711,9.5448570633611e-13,1.39031239284051e-09
"LINGO2",2.89121626386836,9.15551816891645,9.48912004551664,2.89121626386836,7.08883239714685,6.03096576638122,1.35248200220352e-12,1.62982714129368e-09
"GRIN2B",1.77921000853437,9.11845129373865,9.37791941998324,1.77921000853437,5.39563620898408,4.21814041996128,6.82811697618011e-08,2.46325407195472e-05
"CHRM3",3.85495501849114,8.97018379302746,9.37791941998324,3.85495501849114,7.12630538377103,6.05659709050711,1.0309883911738e-12,1.39031239284051e-09
"SCN2A",2.74294876315715,8.85898316749406,9.15551816891645,2.74294876315715,4.92811897869335,3.7156418748993,8.30250556216251e-07,0.000202688495702483
"ALCAM",1.14907313051178,8.78484941713847,9.00725066820526,1.14907313051178,3.75553691279426,2.80910815185586,0.000172970264102615,0.00496789544535695
"MEG3",3.41015251635756,8.74778254196067,9.04431754338305,3.41015251635756,5.33172285673871,4.14760018611093,9.72853342709477e-08,3.35978461124264e-05
"FRMPD4",2.33521313620136,8.67364879160507,8.97018379302746,2.33521313620136,6.14926637026479,5.03445109556559,7.78421545407679e-10,4.7921999444348e-07
"CNTNAP5",2.33521313620136,8.63658191642727,8.85898316749406,2.33521313620136,6.46816902825136,5.37655710975899,9.91975035161355e-11,7.59236243803634e-08
