"Gene" "lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
"ADARB2" 3.19020141567526 4.11758554813898 5.19335114179693 3.19020141567526 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"CLU" 9.19965059404029 9.94155790001127 10.2754161876982 9.19965059404029 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"CRYAB" 7.23359623321715 7.97550353918813 8.30936182687509 7.23359623321715 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"DGKB" 2.96762922388396 3.85791799104915 8.27226646157653 2.96762922388396 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"GALNTL6" 2.78215239739121 3.6724411645564 4.78530212351287 2.78215239739121 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"GPC5" 2.93053385858541 3.78372726045206 4.74820675821434 2.93053385858541 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"INPP4B" 3.11601068507816 3.93210872164624 6.19492600485777 3.11601068507816 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"LINC-PINT" 4.08049018284045 5.00787431530418 7.23359623321715 4.08049018284045 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"NEAT1" 4.59982529702013 8.64322011456202 9.01417376754754 4.59982529702013 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"NPAS3" 3.00472458918251 3.85791799104915 4.59982529702013 3.00472458918251 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"PLP1" 7.08521477202297 10.9431327630721 11.4624678772518 7.08521477202297 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"SLC1A3" 3.74663189515349 4.78530212351287 6.86264258023166 3.74663189515349 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"SPARCL1" 4.67401602761725 5.78687698657372 9.31093668993594 4.67401602761725 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"SPP1" 7.08521477202297 7.56745452090411 8.235171096278 7.08521477202297 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"SYNPR" 5.00787431530418 8.60612474926349 9.05126913284607 5.00787431530418 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"TMEM144" 7.19650086791859 7.82712207799395 8.27226646157653 7.19650086791859 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"VIP" 7.45616842500846 8.27226646157653 8.86579230635333 7.45616842500846 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"DOCK5" 6.75135648433601 7.4190730597099 7.82712207799395 6.75135648433601 7.13989829568022 6.27192699215854 9.33999999999217e-13 3.56606796477161e-10
"ATP1A2" 7.15940550262006 8.12388500038235 8.68031547986058 7.15940550262006 7.13989829568022 6.27192699215854 9.33999999999229e-13 3.56606796477161e-10
"RBMS3" 2.44829410970427 3.22729678097381 4.41434847052738 2.44829410970427 7.13989829568021 6.27192699215854 9.33999999999266e-13 3.56606796477161e-10
"SLC1A2" 2.22572191791297 3.04181995448106 3.70953652985497 2.22572191791297 7.13989829568021 6.27192699215854 9.33999999999314e-13 3.56606796477161e-10
"OXR1" 2.81924776268976 3.74663189515349 4.89658821940853 2.81924776268976 7.13989829568018 6.27192699215854 9.33999999999519e-13 3.56606796477161e-10
"NR3C2" 3.4498689727651 8.12388500038235 8.45774328806928 3.4498689727651 7.13989829568015 6.27192699215854 9.33999999999688e-13 3.56606796477161e-10
"CNTN5" 2.59667557089846 3.375678242168 4.15468091343755 2.59667557089846 7.13989829567988 6.27192699215854 9.34000000001517e-13 3.56606796477161e-10
"ZBTB16" 4.2659670093332 8.04969426978526 8.38355255747218 4.2659670093332 7.13989829567979 6.27192699215854 9.3400000000212e-13 3.56606796477161e-10
