"lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
2.99878130420835 3.85028710663787 7.55248624763583 2.99878130420835 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
2.40642944164867 3.10984727843829 3.92433108945784 2.40642944164867 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
2.73962736433849 3.51708918394806 4.70179290906741 2.73962736433849 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
2.85069333856843 3.73922113240794 4.99796884034723 2.85069333856843 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
2.66558338151853 3.48006719253807 4.70179290906741 2.66558338151853 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
2.62856139010855 3.36900121830815 4.5537049434275 2.62856139010855 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
2.59153939869857 3.36900121830815 4.5537049434275 2.59153939869857 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
2.85069333856843 3.66517714958797 4.88690286611731 2.85069333856843 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
2.51749541587861 3.36900121830815 4.51668295201751 2.51749541587861 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
3.18389126125824 4.07241905509775 5.0720128231672 3.18389126125824 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
3.62815515817799 4.44263896919754 5.36818875444702 3.62815515817799 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
3.22091325266822 4.07241905509775 5.84947464277677 3.22091325266822 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
2.55451740728859 3.77624312381793 4.84988087470732 2.55451740728859 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
3.44304520112809 4.44263896919754 6.44182650533645 3.44304520112809 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
2.55451740728859 3.36900121830815 5.2571227802171 2.55451740728859 7.13989829568023 6.29554099276745 9.33999999999133e-13 3.06329590481597e-10
3.36900121830815 7.07120035930611 8.66314598993524 3.36900121830815 7.13989829568023 6.29554099276745 9.33999999999157e-13 3.06329590481597e-10
2.25834147600875 2.96175931279837 3.99837507227778 2.25834147600875 7.13989829568021 6.29554099276745 9.33999999999253e-13 3.06329590481597e-10
2.55451740728859 3.36900121830815 5.2571227802171 2.55451740728859 7.1398982956802 6.29554099276745 9.33999999999356e-13 3.06329590481597e-10
2.40642944164867 3.2579352440782 4.33157299496762 2.40642944164867 7.13989829567992 6.29554099276745 9.34000000001251e-13 3.06329590481597e-10
2.62856139010855 3.55411117535805 5.10903481457719 2.62856139010855 7.1398982956798 6.29554099276745 9.34000000002072e-13 3.06329590481597e-10
2.36940745023869 3.33197922689816 4.29455100355763 2.36940745023869 7.13989829567103 6.29554099276745 9.34000000061625e-13 3.06329590481597e-10
