"Gene" "lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
"OLR1" 2.42929056437776 6.0732264109444 6.69895276843565 2.42929056437776 6.82230360028754 6.04517860290641 8.95920708618411e-12 1.49244579690382e-09
"TMSB15A" 4.7481588303747 5.8891892469764 6.51491560446762 4.7481588303747 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"CENPF" 3.86478044332824 5.26346288948515 5.9628041125636 3.86478044332824 7.13988419156794 6.33900467703435 9.34095839285216e-13 2.31254219479325e-10
"CLEC7A" 2.90778719069459 5.22665545669155 5.8155743813892 2.90778719069459 5.49879971002166 4.69058744043983 3.82385168286199e-08 2.72421775615016e-06
"PLEK" 1.76675677409292 5.11623315831074 5.74195951580196 1.76675677409292 4.03347351926896 3.12623332659969 5.49583765300888e-05 0.0017706100852737
"TMEM98" 2.72375002672658 5.04261829272354 5.52111491904035 2.72375002672658 7.13966405907374 6.33900467703435 9.35592919842274e-13 2.31254219479325e-10
"AC010729.1" 3.64393584656664 5.04261829272354 5.66834465021476 3.64393584656664 7.08561785373098 6.30630881481815 1.3842530776987e-12 2.85768584416558e-10
"IL1B" 2.90778719069459 5.04261829272354 5.55792235183396 2.90778719069459 4.36576500502698 3.48410064663662 1.26678614189054e-05 0.000493793761214016
"IFI44L" 2.24525340040975 5.00581085992994 5.55792235183396 2.24525340040975 4.8706888321755 4.02446409740427 1.11209860634066e-06 5.71052047741813e-05
"TM4SF1" 1.5459121773313 4.96900342713634 5.66834465021476 1.5459121773313 3.0764127567648 2.0746373365036 0.00209507603261184 0.0380201590307816
"ZNF300P1" 2.46609799717136 4.93219599434274 5.44750005345315 2.46609799717136 6.09648692231997 5.29641932863875 1.08424815302692e-09 1.18095474790651e-07
"C3AR1" 2.09802366923534 4.93219599434274 5.41069262065955 2.09802366923534 4.15168420066862 3.25508717669489 3.30037472292032e-05 0.00113357564315804
"CLCA4" 0.736148655872047 4.89538856154914 5.37388518786595 0.736148655872047 3.65066864003831 2.71093847724498 0.000261558506571756 0.00670930738007751
"DHRS9" 3.71755071215384 4.8585811287555 5.59472978462756 3.71755071215384 7.1354414125672 6.33900467703435 9.64770464844599e-13 2.31254219479325e-10
"C21orf91" 1.91398650526732 4.8217736959619 5.33707775507235 1.91398650526732 5.81557637217976 5.01129178304859 6.0425317061184e-09 5.40658626810634e-07
"TOP2A" 3.49670611539223 4.7849662631683 5.52111491904035 3.49670611539223 7.08529142118695 6.30630881481815 1.38752005216554e-12 2.85768584416558e-10
"C3" 1.17783784939528 4.7849662631683 5.41069262065955 1.17783784939528 3.73418575129169 2.80258297367206 0.000188323468957691 0.00506951741198941
"PTPRC" 0.920185819840063 4.7481588303747 5.30027032227875 0.920185819840063 3.30172958180111 2.32341305231367 0.000960906612491568 0.0201569735993694
"TFAP2C" 1.91398650526732 4.6745439647875 5.26346288948515 1.91398650526732 5.31944968798106 4.50158618473731 1.04081590013699e-07 6.74482047505251e-06
"SAMSN1" 1.14103041660168 4.6745439647875 5.26346288948515 1.14103041660168 3.5196149217846 2.56464837207194 0.000432173762002374 0.0103280411528652
