"Gene","lb","log.FC.mle","ub","ce","Z","cZ","pvalue","p.adjust"
"FGF14",3.22081352169468,10.0326490158536,10.3658366215461,3.22081352169468,6.98847621109473,5.93014177074491,2.77887781221665e-12,3.02673233708322e-09
"OPCML",3.36889690200249,9.88456563554573,10.2177532412383,3.36889690200249,7.13989454597491,6.05192095112692,9.34025478794919e-13,1.43128704655468e-09
"CNTN5",3.66506366261809,9.7735031003149,10.1437115510844,3.66506366261809,7.1398828724167,6.05192095112692,9.3410480358384e-13,1.43128704655468e-09
"KCNQ5",1.66593802846277,9.29223211431453,9.66244056508402,1.66593802846277,3.76317109502962,2.84296753329874,0.000167772334570825,0.00446956231675559
"ASIC2",8.32969014231383,9.21819042416064,9.62541972000708,8.32969014231383,7.13694886838907,6.05192095112692,9.54253209309672e-13,1.43128704655468e-09
"GALNTL6",6.21950197292764,9.14414873400675,9.58839887493013,6.21950197292764,7.12230444578798,6.05192095112692,1.06137285802816e-12,1.43128704655468e-09
"LINGO2",1.99912563415532,9.14414873400675,9.44031549462235,1.99912563415532,5.44669393001503,4.24167330340377,5.13146504616631e-08,2.21859478843334e-05
"GRIN2B",1.62891718338582,9.10712788892977,9.36627380446842,1.62891718338582,4.01356928720617,3.04771248087081,5.98074360366115e-05,0.00230590439907529
"SCN2A",8.10756507185212,8.95904450862198,9.29223211431453,8.10756507185212,6.77609540633652,5.70469896090029,1.23467162572185e-11,1.16548885896059e-08
"CNTN4",1.48083380307802,8.95904450862198,9.21819042416064,1.48083380307802,4.23146312042164,3.19430360669051,2.32176066822283e-05,0.00140168620144223
"CHRM3",7.40416901539008,8.92202366354504,9.32925295939148,7.40416901539008,6.99868173096222,5.93889707090083,2.58382058385815e-12,2.86945941624624e-09
"FRMPD4",2.11018816938617,8.69989859308333,9.03308619877587,2.11018816938617,4.22722872561928,3.19247745892741,2.36587142517024e-05,0.00141057953855628
"DLX6-AS1",7.99650253662128,8.66287774800638,9.10712788892977,7.99650253662128,7.1127972488302,6.04825118096576,1.13714273659497e-12,1.4642654462675e-09
"STXBP5L",2.29529239477092,8.66287774800638,9.03308619877587,2.29529239477092,5.70666974293918,4.52475069082759,1.15208010232143e-08,6.04667414247477e-06
"PAK3",1.66593802846277,8.66287774800638,8.88500281846809,1.66593802846277,4.5481039515397,3.34842756037598,5.41313976219223e-06,0.000812715238119457
"MEG3",2.29529239477092,8.66287774800638,8.95904450862198,2.29529239477092,4.13981530084524,3.13965208138873,3.4758556121355e-05,0.00169148591380637
"KCNJ3",7.88544000139041,8.58883605785249,8.88500281846809,7.88544000139041,6.86650844516563,5.79942713193219,6.57922829165414e-12,6.65418449969125e-09
"GABRB2",4.88675155015745,8.58883605785249,8.92202366354504,4.88675155015745,5.8961071398186,4.73451743843702,3.72177367246462e-09,2.1957689298026e-06
"XKR4",1.66593802846277,8.58883605785249,8.92202366354504,1.66593802846277,4.54360213703405,3.34597722819073,5.53009910764408e-06,0.000819931291253262
"PCDH11X",1.77700056369361,8.58883605785249,8.92202366354504,1.77700056369361,4.4466666628965,3.29517201164138,8.72130087703995e-06,0.00098361451361136
