"Gene" "lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
"PLP1" 7.08521477202297 10.9431327630721 11.4624678772518 7.08521477202297 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"CLU" 9.19965059404029 9.94155790001127 10.2754161876982 9.19965059404029 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"NEAT1" 4.59982529702013 8.64322011456202 9.01417376754754 4.59982529702013 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"SYNPR" 5.00787431530418 8.60612474926349 9.05126913284607 5.00787431530418 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"B2M" 3.9692040869448 8.34645719217362 8.75450621045767 3.9692040869448 7.13989829567832 6.27192699215854 9.34000000012114e-13 3.56606796477161e-10
"VIP" 7.45616842500846 8.27226646157653 8.86579230635333 7.45616842500846 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"RP11-138A9.2" 3.48696433806366 8.16098036568088 8.45774328806928 3.48696433806366 7.13989829552426 6.27192699215854 9.34000001058948e-13 3.56606796477161e-10
"ATP1A2" 7.15940550262006 8.12388500038235 8.68031547986058 7.15940550262006 7.13989829568022 6.27192699215854 9.33999999999229e-13 3.56606796477161e-10
"NR3C2" 3.4498689727651 8.12388500038235 8.45774328806928 3.4498689727651 7.13989829568015 6.27192699215854 9.33999999999688e-13 3.56606796477161e-10
"ZBTB16" 4.2659670093332 8.04969426978526 8.38355255747218 4.2659670093332 7.13989829567979 6.27192699215854 9.3400000000212e-13 3.56606796477161e-10
"CRYAB" 7.23359623321715 7.97550353918813 8.30936182687509 7.23359623321715 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"TMEM144" 7.19650086791859 7.82712207799395 8.27226646157653 7.19650086791859 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"MAP3K5" 3.26439214627235 7.7158359820983 8.01259890448669 3.26439214627235 7.13989827936653 6.27192699215854 9.34000110847261e-13 3.56606796477161e-10
"ARAP2" 2.52248484030136 7.7158359820983 7.97550353918813 2.52248484030136 7.13985839513666 6.27192699215854 9.34271154377408e-13 3.56606796477161e-10
"SPP1" 7.08521477202297 7.56745452090411 8.235171096278 7.08521477202297 7.13989829568023 6.27192699215854 9.33999999999133e-13 3.56606796477161e-10
"HTRA1" 6.97392867612732 7.53035915560555 7.82712207799395 6.97392867612732 7.13989829524832 6.27192699215854 9.34000002933897e-13 3.56606796477161e-10
"COBL" 2.55958020559991 7.53035915560555 7.75293134739686 2.55958020559991 7.13989488712811 6.27192699215854 9.3402316067184e-13 3.56606796477161e-10
"PPAP2B" 3.63534579925784 7.49326379030699 7.9384081738896 3.63534579925784 7.13962400402893 6.27192699215854 9.35865579937343e-13 3.56606796477161e-10
"AXL" 4.71111139291578 7.49326379030699 7.97550353918813 4.71111139291578 7.13902407932573 6.27192699215854 9.39958691689213e-13 3.56606796477161e-10
"DOCK5" 6.75135648433601 7.4190730597099 7.82712207799395 6.75135648433601 7.13989829568022 6.27192699215854 9.33999999999217e-13 3.56606796477161e-10
