"Gene" "lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
"ERBB4" 4.63335939722494 5.5600312766699 9.97098942282805 4.63335939722494 7.13989829568023 6.05659709050711 9.33999999999133e-13 1.39031239284051e-09
"LRP1B" 3.03948376457955 3.92908876884674 5.22642940006971 3.03948376457955 7.13989829568023 6.05659709050711 9.33999999999133e-13 1.39031239284051e-09
"NRXN3" 4.11442314473573 5.18936252489192 11.0459288029842 4.11442314473573 7.13989829568023 6.05659709050711 9.33999999999133e-13 1.39031239284051e-09
"PLP1" 9.82272192211686 10.6011263008506 11.0459288029842 9.82272192211686 7.13989829568022 6.05659709050711 9.33999999999229e-13 1.39031239284051e-09
"GRIK2" 4.33682439580252 10.7493938015618 11.0459288029842 4.33682439580252 7.13989829568011 6.05659709050711 9.33999999999953e-13 1.39031239284051e-09
"CNTNAP2" 3.33601876600196 4.44802502133591 8.48831441571608 3.33601876600196 7.13989829355886 6.05659709050711 9.34000014413416e-13 1.39031239284051e-09
"KCNIP4" 3.59548689224655 10.4528588001394 10.7864606767396 3.59548689224655 7.13989828849152 6.05659709050711 9.34000048844935e-13 1.39031239284051e-09
"CTNNA2" 2.59468126244596 3.48428626671315 5.11522877453632 2.59468126244596 7.13989826866756 6.05659709050711 9.34000183544521e-13 1.39031239284051e-09
"OPCML" 2.78001563833496 3.81788814331334 9.08138441856085 2.78001563833496 7.13989820676663 6.05659709050711 9.34000604148441e-13 1.39031239284051e-09
"LPHN3" 2.48348063691256 3.44721939153536 4.85576064829173 2.48348063691256 7.13989813015974 6.05659709050711 9.34001124676506e-13 1.39031239284051e-09
"FGF14" 3.00241688940175 4.26269064544692 9.71152129658346 3.00241688940175 7.1398980671474 6.05659709050711 9.34001552832696e-13 1.39031239284051e-09
"DLG2" 2.11281188513456 3.15068439011295 4.33682439580252 2.11281188513456 7.13988121208257 6.05659709050711 9.34116086512383e-13 1.39031239284051e-09
"NTRK2" 3.15068439011295 9.85978879729465 10.0451231731836 3.15068439011295 7.13987290201431 6.05659709050711 9.34172560232103e-13 1.39031239284051e-09
"GALNTL6" 3.81788814331334 9.22965191927205 9.63738754622783 3.81788814331334 7.13985003000698 6.05659709050711 9.34328011557563e-13 1.39031239284051e-09
"CSMD1" 2.40934688655696 3.41015251635756 4.67042627240274 2.40934688655696 7.13980297401611 6.05659709050711 9.34647911003918e-13 1.39031239284051e-09
"KCNQ5" 4.33682439580252 9.26671879444985 9.63738754622783 4.33682439580252 7.13972847488248 6.05659709050711 9.35154596238095e-13 1.39031239284051e-09
"CNTN5" 2.55761438726816 3.63255376742435 7.0797731589597 2.55761438726816 7.13933540183814 6.05659709050711 9.37832440563457e-13 1.39031239284051e-09
"DSCAM" 2.55761438726816 3.63255376742435 9.82272192211686 2.55761438726816 7.13928885130718 6.05659709050711 9.38150068077716e-13 1.39031239284051e-09
"CNTN1" 4.44802502133591 9.52618692069443 9.82272192211686 4.44802502133591 7.13828805696798 6.05659709050711 9.45004363850074e-13 1.39031239284051e-09
"ASIC2" 3.66962064260215 9.15551816891645 9.56325379587223 3.66962064260215 7.1369153683133 6.05659709050711 9.5448570633611e-13 1.39031239284051e-09
"ADARB2" 2.66881501280155 4.70749314758054 8.34004691500485 2.66881501280155 7.13095789410776 6.05659709050711 9.96728096186746e-13 1.39031239284051e-09
