"Gene" "lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
"CSMD1" 2.88762591600213 3.70208450769504 4.66462647969574 2.88762591600213 7.13989829560101 6.05192095112692 9.34000000537429e-13 1.43128704655468e-09
"GRIK2" 3.33187605692555 4.44250140923403 8.62585690292943 3.33187605692555 7.13989810268722 6.05192095112692 9.34001311346735e-13 1.43128704655468e-09
"NRXN3" 3.18379267661773 4.14633464861843 5.47908507138865 3.18379267661773 7.13989764239244 6.05192095112692 9.3400443896191e-13 1.43128704655468e-09
"OPCML" 3.36889690200249 9.88456563554573 10.2177532412383 3.36889690200249 7.13989454597491 6.05192095112692 9.34025478794919e-13 1.43128704655468e-09
"FGF12" 2.70252169061737 3.59102197246417 7.10800225477448 2.70252169061737 7.13989260191576 6.05192095112692 9.34038688711085e-13 1.43128704655468e-09
"CNTN5" 3.66506366261809 9.7735031003149 10.1437115510844 3.66506366261809 7.1398828724167 6.05192095112692 9.3410480358384e-13 1.43128704655468e-09
"ASIC2" 8.32969014231383 9.21819042416064 9.62541972000708 8.32969014231383 7.13694886838907 6.05192095112692 9.54253209309672e-13 1.43128704655468e-09
"GALNTL6" 6.21950197292764 9.14414873400675 9.58839887493013 6.21950197292764 7.12230444578798 6.05192095112692 1.06137285802816e-12 1.43128704655468e-09
"DLX6-AS1" 7.99650253662128 8.66287774800638 9.10712788892977 7.99650253662128 7.1127972488302 6.04825118096576 1.13714273659497e-12 1.4642654462675e-09
"CHRM3" 7.40416901539008 8.92202366354504 9.32925295939148 7.40416901539008 6.99868173096222 5.93889707090083 2.58382058385815e-12 2.86945941624624e-09
"FGF14" 3.22081352169468 10.0326490158536 10.3658366215461 3.22081352169468 6.98847621109473 5.93014177074491 2.77887781221665e-12 3.02673233708322e-09
"KCNJ3" 7.88544000139041 8.58883605785249 8.88500281846809 7.88544000139041 6.86650844516563 5.79942713193219 6.57922829165414e-12 6.65418449969125e-09
"SCN2A" 8.10756507185212 8.95904450862198 9.29223211431453 8.10756507185212 6.77609540633652 5.70469896090029 1.23467162572185e-11 1.16548885896059e-08
"GAD1" 7.55225239569787 8.44075267754467 8.88500281846809 7.55225239569787 6.74292718251574 5.67390637444354 1.55227016594057e-11 1.39577435958367e-08
