"Gene" "lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
"AASS" 2.24525340040975 2.90778719069459 3.57032098097943 2.24525340040975 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"CLIC4" 2.20844596761615 2.76055745952018 3.31266895142422 2.20844596761615 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"DCX" 1.76675677409292 2.31886826599695 2.83417232510739 1.76675677409292 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"DOCK5" 2.13483110202894 2.83417232510739 3.49670611539223 2.13483110202894 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"EZR" 2.50290542996496 3.1286317874562 3.79116557774104 2.50290542996496 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"GLUL" 2.06121623644173 2.68694259393298 3.23905408583701 2.06121623644173 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"GPC5" 1.80356420688652 2.53971286275857 3.27586151863062 1.80356420688652 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"GPR98" 2.06121623644173 2.76055745952018 3.38628381701143 2.06121623644173 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"IGF2BP2" 3.42309124980503 4.30646963685149 5.8155743813892 3.42309124980503 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"MARCKS" 1.5091047445377 1.98760137085453 2.42929056437776 1.5091047445377 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"MEIS2" 3.27586151863062 3.90158787612184 4.6377365319939 3.27586151863062 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"MYO10" 2.13483110202894 2.68694259393298 3.23905408583701 2.13483110202894 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"NFIA" 1.95079393806093 2.46609799717136 2.94459462348819 1.95079393806093 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"NHSL1" 3.16543922024981 3.68074327936024 4.23285477126428 3.16543922024981 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"PIP4K2A" 1.72994934129932 2.28206083320335 2.83417232510739 1.72994934129932 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"PON2" 2.76055745952018 3.42309124980503 4.12243247288348 2.76055745952018 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"POU3F2" 3.27586151863062 4.15923990567708 5.30027032227875 3.27586151863062 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"SATB2" 3.20224665304341 3.93839530891544 4.7113513975811 3.20224665304341 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
"SCD" 2.20844596761615 2.79736489231378 3.38628381701143 2.20844596761615 7.13989829568023 6.33900467703435 9.33999999999133e-13 2.31254219479325e-10
