"Gene" "lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
"ROBO2" 4.07822223070112 5.11631516215231 7.26665052015833 4.07822223070112 7.13989829568023 6.01872040543865 9.33999999999133e-13 1.75801221097496e-09
"SYT1" 8.11936971385038 9.89895759633813 10.2326303243046 8.11936971385038 7.13989829568023 6.01872040543865 9.33999999999145e-13 1.75801221097496e-09
"DCLK1" 8.86086466488694 9.56528486837168 9.8618828487863 8.86086466488694 7.13989829567938 6.01872040543865 9.3400000000489e-13 1.75801221097496e-09
"NKAIN2" 2.85475556149077 3.89284849294195 5.33876364746327 2.85475556149077 7.13989829567259 6.01872040543865 9.34000000051076e-13 1.75801221097496e-09
"KCNC2" 7.97107072364307 8.49011718936866 8.74964042223146 7.97107072364307 7.13989748502071 6.01872040543865 9.34005508275107e-13 1.75801221097496e-09
"LINGO2" 3.1513535419054 8.97208890754242 9.15746264530157 3.1513535419054 7.13989402808252 6.01872040543865 9.3402899786491e-13 1.75801221097496e-09
"CACNA1B" 7.93399597609124 8.56426668447232 8.82378991733511 7.93399597609124 7.13918970622029 6.01872040543865 9.3882691514209e-13 1.75801221097496e-09
"STMN2" 7.41494951036565 9.34283638306071 9.67650911102716 7.41494951036565 7.13875843516731 6.01872040543865 9.41776711881715e-13 1.75801221097496e-09
"KCNJ3" 7.89692122853941 8.56426668447232 8.89793941243877 7.89692122853941 7.13512328275721 6.01872040543865 9.67004494804289e-13 1.75801221097496e-09
"TENM2" 2.15033535800603 3.29965253211271 5.19046465725596 2.15033535800603 7.13228513259807 6.01872040543865 9.87161081817236e-13 1.75801221097496e-09
"CKB" 3.22550303700906 8.78671516978329 9.12038789774974 3.22550303700906 7.13143725501433 6.01872040543865 9.93262310660673e-13 1.75801221097496e-09
"SATB2" 7.67447274322844 8.45304244181683 9.12038789774974 7.67447274322844 7.12003070281404 6.01539925835759 1.07903024147992e-12 1.79443870556334e-09
"FRMPD4" 3.96699798804564 8.78671516978329 9.12038789774974 3.96699798804564 7.11799917568349 6.01539925835759 1.09505026236137e-12 1.79443870556334e-09
"LIMCH1" 2.37278384331701 3.81869899783829 6.22855758870715 2.37278384331701 7.10423778505651 6.01075943012511 1.20988393112239e-12 1.84656251121177e-09
