"Gene","lb","log.FC.mle","ub","ce","Z","cZ","pvalue","p.adjust"
"PLP1",3.96854673150521,10.7929635408226,11.2380342022998,3.96854673150521,7.13989829568023,5.93915276132783,9.33999999999133e-13,2.86498812040154e-09
"VIP",0.890141322954441,8.01127190658996,8.5676102334365,0.890141322954441,3.32151476462312,2.24980643893414,0.000895302453798038,0.0244612351076764
"ATP1A2",3.56056529181775,7.97418268480021,8.49343178985696,3.56056529181775,7.13863264197999,5.93915276132783,9.4263882111896e-13,2.86498812040154e-09
"RNF219-AS1",2.29953175096563,7.86291501943088,8.30798568090812,2.29953175096563,6.84614065126035,5.69088287585673,7.58688887636876e-12,1.26384180052875e-08
"FOXO1",1.18685509727259,7.56620124511275,7.86291501943088,1.18685509727259,5.14676288138421,4.03077459345541,2.65019977028999e-07,5.55933387369204e-05
"AXL",6.34225692605038,7.52911202332296,7.97418268480021,6.34225692605038,7.08747866525943,5.93915276132783,1.36577349572444e-12,2.86498812040154e-09
"PMP22",6.564792256789,7.19530902721505,7.56620124511275,6.564792256789,7.0948112840949,5.93915276132783,1.2952811329209e-12,2.86498812040154e-09
"F3",3.26385151749961,7.00986291826621,7.52911202332296,3.26385151749961,6.53655509079224,5.36886720464824,6.29519564506025e-11,7.92327313210938e-08
"GJA1",5.93427548636292,6.97277369647646,7.49202280153321,5.93427548636292,6.39834865245076,5.23139672960411,1.57066319889914e-10,1.68234011669182e-07
"MBP",2.18826408559633,6.97277369647646,7.41784435795367,2.18826408559633,5.71130370945496,4.54934638534159,1.12113959820614e-08,5.38128004772878e-06
"ARHGAP42",1.70610420232934,6.97277369647646,7.30657669258437,1.70610420232934,5.69257312551395,4.52971426143332,1.25138974694329e-08,5.90635104061451e-06
"S100B",2.2253533073861,6.93568447468667,7.30657669258437,2.2253533073861,4.73671995250991,3.64773690238843,2.17204982602571e-06,0.000264560339884827
"SLCO1C1",3.30094073928938,6.89859525289692,7.34366591437413,3.30094073928938,6.12872239835959,4.97525646608188,8.85875356379568e-10,6.51613096553588e-07
"RP11-138A9.1",2.1140856420168,6.89859525289692,7.19530902721505,2.1140856420168,4.43654140889578,3.34356486842068,9.14157564073634e-06,0.000827093548147005
"TF",5.97136470815271,6.86150603110713,7.49202280153321,5.97136470815271,6.35217531404375,5.18612928902982,2.12291176838848e-10,2.14709779889262e-07
"LINC00499",4.96995571982896,6.86150603110713,7.30657669258437,4.96995571982896,6.30013909110238,5.13279325275013,2.9737866655287e-10,2.85473439257991e-07
"AC016831.7",1.18685509727259,6.86150603110713,7.19530902721505,1.18685509727259,3.99052669776257,2.90304380326341,6.59267271567955e-05,0.00369554944270737
"ETNPPL",6.15681081710154,6.82441680931738,7.45493357974342,6.15681081710154,7.09970078813758,5.93915276132783,1.25027277529846e-12,2.86498812040154e-09
"GLDN",4.41361739298242,6.82441680931738,7.30657669258437,4.41361739298242,6.00103578541917,4.84339510730611,1.96062770080876e-09,1.27639116917709e-06
"SPATA6",2.29953175096563,6.78732758752762,7.15821980542529,2.29953175096563,5.5601612397559,4.39687029469921,2.69525526868375e-08,1.0982292655231e-05
