"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
1.10706580893768e-32,4.85171655850926,0.528,0.026,6.8180861975045e-28,"GNG11"
4.01878467159285e-32,7.38779939424744,0.5,0.023,2.47504891569389e-27,"IFITM1"
2.08727364811877e-29,3.48741401195351,0.611,0.049,1.28548922166691e-24,"CDK2"
2.34563980016995e-28,7.30494732526789,0.639,0.065,1.44460918373067e-23,"APOLD1"
3.25885099772708e-27,5.47500123120028,0.472,0.028,2.00702856397018e-22,"PEAR1"
1.60464201094566e-24,5.30382086148398,0.417,0.023,9.88250875281105e-20,"FOXC1"
1.16540981640335e-23,7.54380165606424,0.444,0.03,7.1774094362833e-19,"GPX3"
2.14259234525968e-23,5.37023521215152,0.333,0.012,1.31955834767508e-18,"HIST1H1B"
2.36978541613486e-23,6.86858583964357,0.389,0.021,1.45947974423498e-18,"MKI67"
6.43545565813589e-21,6.74564367507084,0.444,0.04,3.96340407617615e-16,"ANXA1"
7.29701959750296e-21,5.97471675891523,0.306,0.012,4.49401545951415e-16,"UBE2C"
9.2011761312864e-21,7.5576283084243,0.306,0.012,5.66672834397535e-16,"IL6"
2.01217941839137e-20,4.30461553630156,0.667,0.114,1.23924093840469e-15,"CYR61"
2.71703751983755e-20,2.23886456944694,0.417,0.033,1.67334189734235e-15,"ANXA2P2"
2.92853655441806e-20,3.38842027485457,0.528,0.058,1.80359780776945e-15,"CLIC1"
3.59065236644743e-20,3.65949731092724,0.639,0.1,2.21137507292398e-15,"TAGLN2"
9.19743517206564e-20,2.67575459956323,0.361,0.023,5.66442439942006e-15,"ESAM"
1.23088429805231e-19,4.10751699766131,0.889,0.312,7.58064712641477e-15,"VIM"
1.08613020989036e-18,6.12473188045279,0.389,0.033,6.68915012365178e-14,"TM4SF1"
1.53435987239469e-18,7.72684293454575,0.306,0.016,9.44966214611717e-14,"CDK1"
1.77491463152793e-18,5.41620134192961,0.278,0.012,1.0931166741191e-13,"TBX3"
2.08874962229434e-18,6.32982902153189,0.306,0.016,1.28639822988241e-13,"TGM2"
2.31432542154623e-18,6.37799895246026,0.306,0.016,1.42532359736768e-13,"CAVIN2"
2.4779041782385e-18,6.60378298848236,0.306,0.016,1.52606684625175e-13,"PDLIM1"
3.2543876529552e-18,6.13783331198077,0.306,0.016,2.00427972382552e-13,"MFAP4"
1.40228808222199e-17,6.66950737319128,0.361,0.03,8.63627161198057e-13,"RRM2"
2.05331388211609e-16,6.15112702036424,0.5,0.081,1.26457442057884e-11,"ITIH5"
5.52537637758325e-16,4.90958279643199,0.25,0.012,3.4029135496622e-11,"AURKB"
6.06092807738316e-16,2.51364086631306,0.917,0.328,3.73274377501797e-11,"ZFP36L1"
6.3464979351787e-16,2.13509348099575,1,0.895,3.9086176833385e-11,"JUND"
6.37537074713266e-16,3.93955926043424,0.25,0.012,3.92639958203659e-11,"SPC25"
1.11612299810429e-15,4.32384755761168,0.556,0.1,6.87386670842487e-11,"FAM111A"
1.53985492312009e-15,5.62437574507263,0.306,0.023,9.48350451501968e-11,"NOSTRIN"
2.06646500578117e-15,1.04749563723485,0.333,0.028,1.27267380311045e-10,"AC010332.2"
3.95663693020896e-15,6.6548248472756,0.417,0.056,2.43677398620779e-10,"BIRC5"
5.70550748490778e-15,4.81501594088073,0.639,0.172,3.51385089473015e-10,"ANXA2"
6.23460864013032e-15,5.26985405345415,0.528,0.1,3.83970842319706e-10,"CENPF"
6.52235409110471e-15,5.43757820961479,0.278,0.019,4.01692221408865e-10,"ZWINT"
6.71688199544533e-15,4.23601641559749,0.694,0.181,4.13672611453491e-10,"ATF3"
8.09685821867769e-15,8.67721018913982,0.389,0.049,4.98661207113703e-10,"TOP2A"
9.40127091310731e-15,2.9320134313597,0.278,0.019,5.7899607172554e-10,"EPHA2"
1.03292279056559e-14,3.39463972092245,0.361,0.04,6.3614615902563e-10,"KLF2"
1.19376050963702e-14,-4.0217430735841,0.472,0.926,7.35201285070153e-10,"GRIA2"
2.18341988151137e-14,4.89557056074251,0.333,0.033,1.34470280242641e-09,"KIF15"
4.85197966252091e-14,2.60082014086769,0.972,0.809,2.98818871475675e-09,"EGR1"
