"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
3.83498545389987e-43,6.65951693118258,0.667,0.035,2.36185249149331e-38,"HLA-DRA"
1.6267895185784e-39,7.38844859375632,0.595,0.028,1.00189086080688e-34,"GPR34"
7.48641130834134e-38,7.11852887815107,0.524,0.019,4.61065613246818e-33,"AIF1"
1.4329900230343e-35,7.4461498690254,0.548,0.028,8.82535565486137e-31,"ALOX5AP"
1.17540979049111e-34,6.10390513053337,0.429,0.009,7.2389962766976e-30,"C1QA"
3.88444107024056e-34,8.13572348596626,0.595,0.042,2.39231072192905e-29,"OLR1"
4.43666618493001e-34,4.96173159854753,0.476,0.017,2.73240960331285e-29,"TYROBP"
1.28482014800169e-33,5.15226187371984,0.381,0.005,7.91282184549803e-29,"HLA-DMB"
1.71879033476693e-33,7.32471718684691,0.619,0.05,1.05855140347291e-28,"ADAM28"
2.70751410354325e-33,9.53901419979491,0.571,0.04,1.66747671094918e-28,"RGS1"
1.55125024317881e-32,5.77376356234029,0.548,0.033,9.55368487266531e-28,"HLA-DPA1"
1.6472477630766e-32,8.30418623244137,0.524,0.031,1.01449047984598e-27,"C3AR1"
2.47084190675151e-32,7.51244941251862,0.571,0.042,1.52171740511105e-27,"PLEK"
3.96049392011763e-32,6.79024290440581,0.524,0.031,2.43914939058284e-27,"PTPRC"
7.45341449961584e-32,4.36772938055093,0.405,0.009,4.59033438787841e-27,"C1QC"
2.05165040109764e-31,7.23719728628357,0.429,0.014,1.26354993252401e-26,"BCL2A1"
5.93442746511957e-31,6.35631484102632,0.452,0.019,3.65483584294319e-26,"CD86"
1.60969159252637e-30,7.45183186239622,0.524,0.035,9.91360761089214e-26,"MS4A7"
2.13246242103509e-30,7.15683444450914,0.595,0.054,1.31331963124288e-25,"ITGAX"
2.58436269464479e-30,5.87954688667001,0.524,0.035,1.59163145275089e-25,"LAPTM5"
3.82195291634964e-30,3.71999356169451,0.405,0.012,2.35382614259226e-25,"HLA-DRB5"
1.60094039611187e-29,4.58782000961048,0.5,0.031,9.85971161753415e-25,"HLA-DRB1"
4.38483210352507e-29,5.82493212084375,0.333,0.005,2.70048654759798e-24,"KLHL6-AS1"
1.12418954122345e-28,5.35820996043651,0.31,0.002,6.92354612753284e-24,"LILRB4"
6.49618656969545e-28,5.73349857022081,0.476,0.031,4.00080642267834e-23,"APBB1IP"
1.12634324931151e-27,6.5315365509453,0.405,0.017,6.9368101695348e-23,"C1QB"
8.51023671847866e-27,6.06159695653904,0.405,0.019,5.24119948780945e-22,"IL1A"
2.74964022735606e-26,9.09882738764925,0.524,0.05,1.69342092682178e-21,"CLEC7A"
4.68847030744395e-26,6.9331059055789,0.452,0.031,2.88748820824551e-21,"SAMSN1"
8.76442244836958e-26,5.7349189057968,0.429,0.026,5.39774485327737e-21,"TMEM52B"
8.90972954382702e-26,8.75561271604736,0.476,0.038,5.48723513415675e-21,"IL1B"
1.07675840109756e-25,7.8852727637251,0.405,0.021,6.63143196483954e-21,"DHRS9"
1.28583617449322e-25,6.44008057036972,0.548,0.057,7.91907924785138e-21,"P2RY12"
5.61897080325909e-25,5.56316669591293,0.357,0.014,3.46055554860318e-20,"FCGR3A"
8.47887431008464e-25,4.89225292024077,0.595,0.073,5.22188432135183e-20,"SRGN"
1.08112702320707e-24,4.31091396833459,0.524,0.052,6.65833699782538e-20,"APOBEC3C"
1.34610052011721e-24,6.96925362634927,0.476,0.04,8.29022927324584e-20,"CD84"
1.48885232729177e-24,6.16010530265803,0.405,0.024,9.16939482809183e-20,"GAB3"
1.53515140044411e-24,5.09475383076329,0.405,0.024,9.45453692991513e-20,"SELPLG"
1.57542006125159e-24,4.47765902797307,0.524,0.05,9.70253953123016e-20,"S100A11"
2.8503849913502e-24,4.25440265481111,0.571,0.066,1.75546660462285e-19,"CXCL16"
3.86163130067004e-24,7.01797372552608,0.476,0.04,2.37826286914366e-19,"CCL3"
4.19674714642252e-24,4.21191898853403,0.405,0.024,2.58465066506724e-19,"LY86"
9.6635557510058e-24,6.79430676736879,0.571,0.075,5.95149408037194e-19,"GPR183"
1.12883025228332e-23,7.64077834670237,0.452,0.038,6.95212687473727e-19,"CD53"
1.13030844000801e-23,6.59276494385651,0.476,0.042,6.96123058947735e-19,"LCP1"
2.14115610237113e-23,4.32914692854959,0.476,0.042,1.31867380876731e-18,"HCLS1"
2.24963764940546e-23,5.11945854036131,0.31,0.009,1.38548433913934e-18,"AC215217.1"
4.48158438853426e-23,4.84984956461066,0.405,0.026,2.76007337736659e-18,"P2RY13"
6.91834903702746e-23,5.1679934187886,0.5,0.052,4.2608036214341e-18,"HLA-DPB1"
