"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CNDP1",1.09401744174753e-46,7.73960967200476,0.977,0.131,2.01868098351255e-42
"SH3TC2",2.68300498686586e-32,7.65483238035418,0.705,0.077,4.95068080176489e-28
"ERMN",5.25515037385747e-50,7.63711131798467,1,0.122,9.6968034698418e-46
"FOLH1",8.51020268299271e-45,7.57151565047781,0.773,0.048,1.57030259906581e-40
"KLK6",2.56221912191469e-57,7.49604794292681,0.886,0.043,4.72780672375698e-53
"MAG",1.43050674809754e-67,7.43117892327149,0.886,0.014,2.63957105158959e-63
"OPALIN",2.42605451973625e-54,7.18105496290342,0.977,0.085,4.47655579981734e-50
"PLP1",1.00443649641764e-33,6.66821219502661,1,0.338,1.85338622318983e-29
"CLCA4",4.94754567851353e-19,6.62052196270485,0.364,0.026,9.12921128599317e-15
"CTNNA3",1.08095509912121e-35,6.35520424976166,0.705,0.06,1.99457834889846e-31
"TMEM144",9.85431161034469e-34,6.34829085343059,1,0.33,1.8183175783408e-29
"ABCA8",7.30185037678527e-42,6.29098106870867,0.932,0.128,1.34733743152442e-37
"CLDN11",7.24809359422871e-27,6.247248182527,1,0.574,1.33741823000708e-22
"DBNDD2",6.27736943292265e-40,6.23281365349083,0.909,0.111,1.15830020776289e-35
"LINC01608",8.74248400139765e-20,6.11758514816628,0.523,0.074,1.6131631479379e-15
"TF",1.42333769708103e-33,6.11036239007364,1,0.335,2.62634271865392e-29
"ENPP2",5.9130206465556e-37,6.09763752667723,1,0.259,1.09107056970244e-32
"MOG",2.02607162729347e-65,6.08314804848388,0.955,0.034,3.73850736668191e-61
"AC018647.1",1.05377790542113e-44,5.98417179189707,0.909,0.094,1.94443099108308e-40
"UGT8",8.18182411862303e-49,5.95235178384445,1,0.119,1.50971018636832e-44
