gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
YIPF4,0.111357608378603,-0.395113708889548,0.577,0.692,1
ENSG00000289272.1,0.99762536692154,-0.395175052498589,0.385,0.381,1
PTPN13,0.11476755343847,-0.395498511392835,0.577,0.416,1
STT3A,0.054337329556429,-0.395851062181833,0.519,0.648,1
TTC1,0.100520070270102,-0.39585916488462,0.654,0.77,1
SPTAN1,0.013976926198018,-0.396275958548623,0.885,0.878,1
RPL37A,0.04620122606802,-0.39636972445216,0.808,0.927,1
RPS6KA2,0.019669043617115,-0.396526111561685,0.288,0.451,1
IAH1,0.111736743823153,-0.397116724129004,0.327,0.427,1
KIAA1551,0.099420168087259,-0.397491295457137,0.365,0.468,1
TMOD3,0.485620813106238,-0.397768688010927,0.385,0.451,1
KLHDC2,0.089452432668135,-0.397934734988336,0.25,0.372,1
RPUSD4,0.669195080425927,-0.397982498116645,0.288,0.256,1
KPNA5,0.465536967766136,-0.398093912162818,0.615,0.648,1
SPTBN1,0.006200425176746,-0.39835150741157,0.788,0.919,1
CIT,0.185439443003603,-0.398843385916125,0.596,0.424,1
NPTN,0.014037257713161,-0.398916118149637,0.481,0.645,1
USP10,0.055381096025294,-0.398952511005938,0.365,0.544,1
LSAMP,0.391876829557942,-0.399768281725796,0.769,0.738,1
CCDC115,0.095199815288989,-0.400637885428169,0.212,0.326,1
GDPGP1,0.323301360906151,-0.400723588627629,0.212,0.276,1
VDAC2,0.047074499543346,-0.400986677539085,0.712,0.782,1
C12orf4,0.948878200258545,-0.401010952290926,0.308,0.299,1
ZBTB7A,0.447697186928574,-0.401374665883472,0.346,0.43,1
PCBP1.AS1,0.003740202331567,-0.401460194401453,0.558,0.741,1
ZFYVE9,0.124958089422187,-0.402541692616806,0.269,0.384,1
GGPS1,0.586103341676497,-0.402631363137437,0.327,0.384,1
TMEM39A,0.340995709676852,-0.402996007521168,0.404,0.317,1
UHRF1BP1,0.777342985762075,-0.403381503666251,0.25,0.27,1
TSPAN5,0.033224105068761,-0.40366750693155,0.385,0.561,1
LUC7L,0.22502143478641,-0.403671760489693,0.596,0.706,1
TOMM7,0.061617940918918,-0.403898147803844,0.596,0.701,1
METTL5,0.025375994175798,-0.404128672065142,0.192,0.36,1
OAZ1,0.046432023502257,-0.405209485210983,0.654,0.762,1
VDAC1,0.116223058668461,-0.40787788230914,0.615,0.706,1
NNT.AS1,0.049626691115754,-0.408283785537335,0.269,0.451,1
PLEKHB2,0.209241135355985,-0.408316688337816,0.519,0.596,1
SUPT5H,0.005308134145294,-0.408364133900859,0.269,0.485,1
PARP11,0.275070490351711,-0.409417436409873,0.269,0.346,1
ARL6IP1,0.027823697436967,-0.409490814455461,0.904,0.942,1
YEATS2,0.054073889179825,-0.41056658344149,0.385,0.523,1
SCAMP1,0.037562289390462,-0.410622664799714,0.519,0.651,1
NDUFAF7,0.07704615209695,-0.410767407246501,0.173,0.299,1
PNMA8C,0.502472120951065,-0.410986446007776,0.442,0.503,1
ROCK2,0.517238824597992,-0.411008494588355,0.75,0.703,1
AL139424.3,0.073582786474323,-0.411140870249266,0.25,0.363,1
RNF217,0.328547439969372,-0.411356232567601,0.269,0.346,1
SLU7,0.047840189442768,-0.411662772498187,0.481,0.622,1
FTSJ1,0.258225136430232,-0.411975063413818,0.308,0.36,1
ELAVL1,0.140591056622419,-0.41248453714428,0.288,0.387,1
KLHL2,0.042466592817591,-0.412527984298494,0.231,0.39,1
MPRIP.AS1,0.197651233707211,-0.413177595526665,0.385,0.448,1
GRIP1,0.517839941126842,-0.414321132252367,0.442,0.43,1
ATP1A1.AS1,0.362308189411351,-0.414394976410981,0.327,0.372,1
PPIAP29,0.04906972808617,-0.414814403257107,0.365,0.515,1
OPTN,0.041607528937657,-0.415002900850546,0.423,0.584,1
MNAT1,0.002642986810684,-0.415350290942983,0.423,0.61,1
GNS,0.996970885673756,-0.415432079106555,0.346,0.358,1
NDUFV1,0.018635947840241,-0.415713552925378,0.346,0.52,1
DFFA,0.587236164858895,-0.416515911137174,0.558,0.599,1
KDM4C,0.543378414188144,-0.416630073384881,0.385,0.422,1
SMURF2,0.400869710349282,-0.416641879917197,0.538,0.605,1
DNAL1,0.201581753006815,-0.416739988255546,0.269,0.366,1
YIF1B,0.118630963055516,-0.416749476736352,0.154,0.256,1
STAU1,0.264036060217839,-0.416875524332895,0.712,0.744,1
NDUFS5,0.081286560380512,-0.416947450439356,0.731,0.831,1
PPHLN1,0.974731692148485,-0.418267943578706,0.615,0.584,1
MCF2L,0.094873693204342,-0.418437589916117,0.365,0.48,1
MT.ND1,0.00739581076621,-0.418976332638696,1,0.997,1
ZNF429,0.003979899357273,-0.419417218108384,0.327,0.538,1
ARFGEF2,0.070482594799027,-0.419588878663781,0.327,0.468,1
NRP1,0.020099647904499,-0.419741482931935,0.192,0.369,1
ARHGEF4,0.117907646271531,-0.419796717198709,0.288,0.375,1
LPCAT4,0.011189845846948,-0.419944185433359,0.192,0.381,1
CWF19L2,0.105612529017736,-0.420150258366363,0.5,0.578,1
GPR107,0.0482689911031,-0.42021373976376,0.212,0.372,1
IQCG,0.985977580178567,-0.420934487440893,0.269,0.265,1
MCF2L2,0.408501647611436,-0.42110200299817,0.25,0.314,1
RPL15,0.061220420990501,-0.421131182580575,1,0.971,1
ZBTB44,0.137431586137305,-0.421277986884167,0.558,0.605,1
TMSB4X,0.118303683382009,-0.421298750689575,0.885,0.965,1
TMX4,0.190447305940826,-0.421461746393762,0.462,0.552,1
ABL2,0.360656453121513,-0.421589004926145,0.462,0.541,1
VPS37A,0.565435653121131,-0.421796988679736,0.346,0.372,1
SYT14,0.010636374350248,-0.422302418050275,0.462,0.674,1
PHACTR4,0.667690511385665,-0.422320760409034,0.577,0.605,1
LSM2,0.837119884337834,-0.423827569855045,0.25,0.233,1
BCAS3,0.046238168404086,-0.42389599843513,0.385,0.549,1
AHI1,0.667994773565862,-0.423926483987096,0.904,0.753,1
ANAPC5,0.019537885161814,-0.424249977841857,0.692,0.779,1
SDCCAG8,0.131917248564359,-0.424486988303032,0.327,0.422,1
PATJ,0.02766122557297,-0.425800794457572,0.231,0.363,1
PCDH9.AS2,0.124556752004054,-0.426135322393279,0.173,0.276,1
BAG6,0.085279364513634,-0.426770086343389,0.154,0.259,1
UBE2N,0.83206025049781,-0.427758278850177,0.808,0.753,1
MRPL40,0.165312773167229,-0.427837202388165,0.269,0.378,1
TUBB4B,0.806373404861233,-0.428169693784628,0.538,0.529,1
PEX3,0.040387467709795,-0.428370469327134,0.25,0.401,1
CHST5,0.125735398560339,-0.428933517287024,0.346,0.445,1
AC006001.3,0.150153050759236,-0.429039128800188,0.462,0.584,1
DTD1,0.16209971915882,-0.429434832967253,0.308,0.404,1
CCDC6,0.236075321252508,-0.429864448846424,0.327,0.404,1
NAP1L2,0.884354106632751,-0.430463935893145,0.327,0.299,1
CYTH2,0.614676491469144,-0.430856213549998,0.308,0.334,1
ENTPD3.AS1,0.111989523821571,-0.430860825132746,0.173,0.288,1
ALOX12.AS1,0.124587959747423,-0.431081018411445,0.192,0.305,1
TIA1,0.130709707340387,-0.431356303217131,0.788,0.843,1
DNAJC2,0.518869829973877,-0.431568172991579,0.423,0.375,1
MT.TL1,0.064989544232703,-0.432662911454579,0.423,0.59,1
AKR1A1,0.057386785567519,-0.432837470038957,0.327,0.474,1
GTF2IP1,0.013343795288264,-0.433128847060304,0.269,0.453,1
KDM5A,0.407513452695798,-0.433381049227855,0.635,0.724,1
INTS11,0.003463662815413,-0.434332188632486,0.154,0.355,1
CSRP2,0.792261391119311,-0.434554547797759,0.404,0.378,1
SUCLG1,0.088886914062437,-0.435713419030845,0.558,0.66,1
EXOC5,0.02269196331562,-0.435805005269602,0.423,0.576,1
GOLM1,0.778777807549686,-0.436154859674629,0.519,0.523,1
UBR3,0.191206734064862,-0.436278875714165,0.635,0.703,1
GDPD1,0.0020116961441,-0.436488867228059,0.212,0.468,1
NIPSNAP3A,0.016429587097507,-0.436606770605403,0.192,0.384,1
FASN,0.207503727156883,-0.4366496603961,0.154,0.25,1
ARHGEF9,0.018110118655246,-0.436917896329286,0.385,0.541,1
BBS9,0.383251161653235,-0.436929088639498,0.288,0.363,1
NUDT4,0.504068481617889,-0.437097680773542,0.5,0.573,1
ATL2,0.065021033019044,-0.43714720423954,0.327,0.474,1
DDX27,0.142683677062015,-0.437160067861151,0.462,0.578,1
CCNB1IP1,0.117016620781065,-0.437336978616776,0.192,0.308,1
SLC41A2,0.010821236523329,-0.437383011281279,0.423,0.599,1
APOO,0.08391781903777,-0.43765250937269,0.308,0.442,1
MITF,0.391772542683217,-0.437785659529688,0.288,0.218,1
ENOSF1,0.195887053559699,-0.438055793768262,0.423,0.326,1
SRP14,0.052758708182736,-0.438788639532937,0.962,0.983,1
UBE2E2,0.399913640369339,-0.439155595152574,0.25,0.291,1
PRPF6,0.038442288294437,-0.439225241936021,0.404,0.558,1
PTGIR,0.005113955493938,-0.439234209709491,0.173,0.375,1
CHN2,0.043857468829345,-0.439453600024942,0.288,0.448,1
PIM2,0.228146984116662,-0.439549897903505,0.25,0.334,1
AC005005.4,0.401195358453397,-0.439818967553431,0.212,0.267,1
ATP9A,0.100435112977657,-0.440012073451251,0.654,0.701,1
MOV10,0.500380372144573,-0.440175329596793,0.269,0.224,1
LNPK,0.143508822519897,-0.440800533235884,0.5,0.593,1
RANBP6,0.894942496859934,-0.441131784377858,0.385,0.413,1
WAPL,0.616256662309577,-0.441659043673053,0.654,0.593,1
PPP4R3A,0.351042248446405,-0.441943469650349,0.712,0.666,1
CDC5L,0.370489176875919,-0.442123389895236,0.692,0.701,1
BTRC,0.046766344078063,-0.442137235563703,0.308,0.445,1
TIMM23,0.137394387465107,-0.442244706575947,0.423,0.523,1
SMIM8,0.355338347234587,-0.442920810716042,0.365,0.422,1
URGCP,0.025489137014691,-0.443574297161557,0.192,0.349,1
HDAC2,0.329937095738299,-0.443852744075814,0.75,0.767,1
L3MBTL3,0.61838103416919,-0.443992593538952,0.288,0.308,1
ABCF3,0.120687176448424,-0.444099964881307,0.173,0.276,1
ENSG00000288745.1,0.856145523693431,-0.444499161076684,0.25,0.235,1
EPHA4,0.055217897479672,-0.444915507605618,0.385,0.517,1
MRPS14,0.869464445305907,-0.445054759781073,0.385,0.349,1
VDAC3,0.01255604808989,-0.445115329806917,0.654,0.788,1
FAM49B,0.162381811243118,-0.4451290437741,0.5,0.637,1
TAF9,0.179478182745141,-0.445870143067673,0.308,0.41,1
POMGNT2,0.624859565231313,-0.446385810829453,0.25,0.279,1
METAP1,0.280372766307866,-0.447186928200707,0.327,0.413,1
SLC25A46,0.055585490573307,-0.447349086835054,0.481,0.564,1
KIF13B,0.983782242697257,-0.447531359898453,0.346,0.369,1
RPS15A,0.247044792509647,-0.447757338335379,0.827,0.878,1
RNF149,0.24840138001933,-0.447911578831325,0.442,0.52,1
PIGL,0.570498820238321,-0.448089445587095,0.308,0.349,1
OMG,0.133086768287878,-0.448262122706364,0.462,0.573,1
SEL1L,0.101160594087071,-0.44943829769575,0.596,0.698,1
ENSG00000288596.2,0.036586624460954,-0.449684809768674,0.154,0.311,1
MTG1,0.353418512808106,-0.4498136160757,0.269,0.198,1
TFIP11,0.163670215146703,-0.449873360085979,0.212,0.305,1
DZIP3,0.044925118760297,-0.449881118974262,0.5,0.657,1
NABP2,0.210868057216238,-0.449905586562512,0.192,0.262,1
GFM2,0.847618722495347,-0.450939527507895,0.327,0.355,1
ANLN,0.164455768510113,-0.451461843606583,0.404,0.302,1
AC114491.1,0.001349313284408,-0.451713148991182,0.25,0.509,1
MRFAP1L1,0.036056472556542,-0.452345771251215,0.423,0.564,1
MON1B,0.015556328763123,-0.452477587023141,0.25,0.436,1
OBSL1,0.275368604900129,-0.452657063778175,0.231,0.311,1
PDS5A,0.341496862534977,-0.452826124969921,0.654,0.683,1
STK25,0.009627495984944,-0.452878021917519,0.269,0.465,1
WNK1,0.042029881632186,-0.452897139773293,0.827,0.881,1
KCNAB1,0.737429201254527,-0.453578051797644,0.346,0.378,1
RRNAD1,0.285408624711615,-0.45387575327607,0.308,0.424,1
SAMD4B,0.844422064759941,-0.454143630792455,0.423,0.451,1
SFXN5,0.741682426014087,-0.454282239461643,0.404,0.355,1
NDUFB1,0.069666215028951,-0.454497413384426,0.596,0.73,1
MOB1B,0.499835081294443,-0.455792179204016,0.308,0.352,1
UBAP2,0.967717248574039,-0.456060301954651,0.596,0.584,1
NCAM1,0.000565491662439,-0.456167813390168,0.846,0.962,1
BACE1,0.671643789190008,-0.456244398905305,0.404,0.41,1
TBC1D22A,0.035987216244194,-0.456449238152323,0.154,0.294,1
NFIX,0.035931403821512,-0.456729198823061,0.5,0.622,1
EPC2,0.895201483628523,-0.456844703601334,0.288,0.276,1
MT.ND2,0.011043026404054,-0.457135612542249,1,1,1
RTL10,0.24873217146762,-0.457335109874788,0.173,0.25,1
CHM,0.039930184337142,-0.458156203642865,0.327,0.468,1
ATRX,0.022796250169852,-0.458917987310253,1,0.971,1
CARS,0.07899573264814,-0.459572385395338,0.212,0.32,1
HDAC2.AS2,0.190378020016713,-0.459601058421495,0.192,0.265,1
KLHL24,0.045914155070924,-0.460102425011446,0.75,0.811,1
COL4A5,0.97496158129792,-0.461103704201772,0.288,0.273,1
TMEM18,0.86628506701593,-0.461301301820562,0.423,0.401,1
AC093752.1,0.021630473775207,-0.461756444960083,0.481,0.628,1
APPBP2,0.068696219105057,-0.462151394942555,0.558,0.625,1
NRG3,0.05190170295913,-0.462260365233568,0.25,0.375,1
RSF1,0.451127575836087,-0.462552601579182,0.865,0.837,1
UQCR10,0.164435081092155,-0.462832712822627,0.769,0.785,1
UCHL3,0.687676712724051,-0.463301837913915,0.231,0.256,1
KHDRBS1,0.091182753697734,-0.463341363688379,0.615,0.747,1
NCALD,0.481334980205864,-0.463941016260708,0.654,0.552,1
RC3H1,0.127390053289352,-0.464016996082125,0.673,0.767,1
KYAT3,0.005747842139065,-0.464616982221819,0.115,0.299,1
SEC23B,0.961798590518093,-0.464821946781772,0.385,0.372,1
CALM2P3,0.002747138126795,-0.464940308163167,0.385,0.584,1
PPIL3,0.957048850952584,-0.465002708274931,0.327,0.343,1
SPCS3,0.013530543067986,-0.465353026528211,0.404,0.605,1
CAND1,0.014145484245634,-0.465629014205777,0.577,0.703,1
SLC6A1,0.308498507505063,-0.46595681678635,0.731,0.683,1
C9orf3,0.548188756519214,-0.466283805066112,0.385,0.34,1
CARHSP1,0.618280199916444,-0.466401673529769,0.365,0.334,1
COPS9,0.028844517306017,-0.466534217697268,0.558,0.686,1
MAPK3,0.475804189525718,-0.46705814261272,0.288,0.241,1
TOMM5,0.104560047232969,-0.467769103026989,0.692,0.532,1
MAGEE1,0.004720069873781,-0.468406237032548,0.25,0.474,1
ENSG00000289208.1,0.002695935956818,-0.468708429563807,0.212,0.477,1
PDCD6IP,0.068779616126475,-0.468862161857325,0.519,0.701,1
APC,0.051427077656508,-0.468882698765233,0.846,0.924,1
MRPS30,0.29258637876273,-0.468939670908226,0.288,0.352,1
TNPO1,0.879913486339214,-0.469036657711601,0.75,0.683,1
METTL7A,0.969354922793993,-0.469075869994475,0.423,0.419,1
NUCKS1,0.980812143140987,-0.469263108303349,0.942,0.948,1
MSH2,0.168969403365807,-0.469567075610938,0.481,0.547,1
EPG5,0.007312815348001,-0.469627090192978,0.308,0.541,1
MRPL42,0.379611228484209,-0.469819025606428,0.673,0.686,1
AMER2,0.017668875618591,-0.470314973051147,0.769,0.872,1
KANSL3,0.636474595125263,-0.470652955209522,0.404,0.433,1
AP3M2,0.140922458634492,-0.471090863092886,0.385,0.485,1
B3GALT1,0.096391556279741,-0.471248855127454,0.519,0.608,1
XRCC5,0.004784957241597,-0.471882491721608,0.827,0.924,1
SAP18,0.059490406639988,-0.472094879545199,0.673,0.776,1
DNAJA2,0.030575535935994,-0.472216363632796,0.654,0.765,1
SMIM15,0.470135527313788,-0.472524655539651,0.212,0.259,1
ZCCHC14,0.310515621813453,-0.473059087357757,0.327,0.433,1
TSC1,0.035037587917973,-0.473099931919942,0.615,0.797,1
ITGB1BP1,0.251764178262941,-0.473581762983497,0.423,0.462,1
PTCH1,0.742551141478295,-0.473969135224966,0.346,0.375,1
TMEM14C,0.170453402843737,-0.47446567199606,0.327,0.427,1
FNBP4,0.149490580588001,-0.474562076692176,0.442,0.57,1
NDUFS7,0.009043852931617,-0.475083868770098,0.269,0.468,1
M6PR,0.133335417733464,-0.475356403644014,0.25,0.34,1
FNTA,0.578209953892944,-0.476311178771144,0.5,0.453,1
ATG5,0.573686907091837,-0.476654465029257,0.269,0.302,1
FAM210A,0.16491673752857,-0.476852677804364,0.25,0.355,1
NAA15,0.442855730856426,-0.476878687096302,0.596,0.686,1
ADAM19,0.042525501776055,-0.47738787223602,0.192,0.358,1
SPCS1,0.141301816149024,-0.477534192612841,0.673,0.706,1
MRPS9,0.053680207105541,-0.47765746432222,0.212,0.355,1
RMND5B,0.118317295201802,-0.477857730410457,0.192,0.291,1
RRM2B,0.551507129231023,-0.478059194290148,0.308,0.358,1
CHFR,0.27631402129992,-0.47861471536194,0.212,0.288,1
