"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SERTAD3",8.80379037059037e-19,4.19924056826687,0.5,0.065,1.62447539918133e-14
"PLLP",1.143752692695e-30,4.19909432891864,0.932,0.213,2.11045246856081e-26
"CERCAM",5.13695530332567e-39,4.18517837251577,0.909,0.111,9.47870992569653e-35
"TMEM63A",9.51318114956617e-29,4.18425835245634,0.773,0.114,1.75537218571795e-24
"TMCC3",7.78935199600311e-22,4.07584286670065,0.591,0.077,1.43729123030249e-17
"CA2",1.38964769093443e-25,4.06716379942886,0.932,0.304,2.56417791931221e-21
"AIF1L",2.58190284212336e-33,4.06477025539024,0.75,0.082,4.76412712428603e-29
"TRIM59",9.21174313998609e-26,4.05836256752781,0.75,0.122,1.69975084419023e-21
"RASGRP3",1.1446209571244e-23,4,0.705,0.122,2.11205459008594e-19
"PXK",2.30598763354947e-24,3.96088297511985,0.977,0.469,4.25500838142548e-20
"KIF6",2.34773779021797e-13,3.90967572203506,0.432,0.068,4.33204577051019e-09
"PIEZO2",4.38804596089726e-11,3.89538942123953,0.432,0.094,8.09682240704762e-07
"ATP10B",2.86918985712372e-11,3.88551356358794,0.591,0.19,5.29422912436468e-07
"LHPP",3.477229235778e-27,3.87966912687349,0.841,0.145,6.41618338585757e-23
"ENSG00000289227.1",5.70176956111728e-13,3.87160856850239,0.523,0.122,1.05209051941736e-08
"ZNF488",2.00467415417447e-24,3.86521882853454,0.545,0.048,3.69902474928272e-20
"GALNT6",9.45183984762043e-29,3.85201961539516,0.568,0.043,1.74405348868292e-24
"FAM69C",7.4499005583166e-11,3.83437403766162,0.295,0.037,1.37465565102058e-06
"AMPD3",4.16519607365166e-09,3.82746661773346,0.341,0.071,7.68561979510204e-05
"CA14",3.78307040129786e-09,3.81992376022181,0.341,0.071,6.9805215044748e-05
"ENSG00000289371.1",1.31354138122038e-11,3.81111911688447,0.477,0.108,2.42374655662784e-07
"SLC44A1",2.18446232995918e-23,3.7380363715421,1,0.764,4.03076989124068e-19
"SLC12A2",1.73981024407524e-25,3.73451323123252,1,0.787,3.21029786236763e-21
"AC009063.2",1.86423628737434e-10,3.73279293748771,0.318,0.048,3.43988879746312e-06
"KIF13B",1.25016378189184e-21,3.72499868201632,0.909,0.298,2.30680221034682e-17
"AL138881.1",4.13131604344081e-11,3.72336009940247,0.295,0.037,7.62310436335699e-07
"ST18",4.14758193649293e-37,3.72169367423382,1,0.173,7.65311818921675e-33
"PLD1",2.23736720181763e-35,3.71180698048472,0.864,0.102,4.1283899607939e-31
"C21orf91",4.19630010384651e-21,3.68060315154709,0.682,0.128,7.74301295161758e-17
"WHRN",6.82142866770666e-17,3.67891830879833,0.523,0.08,1.25869001776523e-12
"CRYAB",4.32175796641981e-25,3.67589241665067,1,0.511,7.97450779963783e-21
"CD22",9.80440613865387e-41,3.67525138605026,0.636,0.023,1.80910902070441e-36
"SLAIN1",3.15697853341154e-25,3.65265353338107,1,0.406,5.82525678985098e-21
"SCD",4.1767595681358e-26,3.63869237437122,1,0.724,7.70695675512418e-22
"TMEM235",7.37470279966331e-18,3.62593428177746,0.341,0.023,1.36078016059387e-13
"PLEKHG3",2.27666349834591e-22,3.60545123294756,0.682,0.111,4.20089948714788e-18
"SOX2.OT",3.17144194228334e-27,3.59188718446801,1,0.699,5.85194467190121e-23
"AL390318.1",7.38470789543522e-10,3.58946857947307,0.273,0.037,1.36262630086571e-05
"LINC00639",4.23710519774014e-18,3.57197351872359,0.5,0.071,7.8183065108701e-14
"BOK",3.27655529098212e-17,3.56215261781307,0.386,0.037,6.0458998229202e-13
"SOX10",3.01406090125162e-31,3.53025479506203,0.773,0.094,5.56154517498948e-27
"PRKCQ.AS1",2.18496065741251e-11,3.49343839646919,0.364,0.06,4.03168940505756e-07
"LGI3",2.35955200636009e-15,3.48818221397009,0.591,0.119,4.35384536213563e-11
"CFL2",1.11334287324178e-21,3.47181327367506,0.955,0.514,2.05434026970574e-17
"AC026316.4",1.49207536377313e-07,3.43787747563696,0.273,0.054,0.00275317746123419
"CBR1",1.2671331796364e-24,3.42952850187583,1,0.375,2.33811414306509e-20
"LAMP2",3.78198958780838e-23,3.42203155393096,1,0.673,6.97852718742403e-19
"AL590783.1",0.000456915844824182,3.41503749927884,0.273,0.105,1
"FA2H",8.10449784025644e-44,3.4078940698942,0.75,0.043,1.49544194148412e-39
"CDK18",3.38164215631691e-23,3.40129557297444,0.614,0.077,6.23980610683597e-19
"AATK",1.314329819755e-24,3.39581263721093,0.955,0.301,2.42520138341193e-20
"TPPP3",1.60038833670607e-15,3.38468130074898,0.659,0.148,2.95303655889004e-11
"SYNJ2",3.63353272194491e-29,3.37177270365461,0.864,0.162,6.70459457853274e-25
"ZDHHC20",2.60688500594936e-05,3.37138278828705,0.614,0.327,0.481022421297777
"EFHD1",2.20267459778422e-29,3.364128472702,0.886,0.153,4.06437516783145e-25
"TMEM165",1.6974467959498e-20,3.35969251221815,0.932,0.386,3.13212882788657e-16
"ELOVL1",3.75368371454432e-33,3.35468109162921,0.705,0.065,6.92629719007718e-29
"C12orf66",0.00117682175157663,3.35060905357397,0.25,0.094,1
"MOSPD2",2.93548366072846e-19,3.33235244853551,0.841,0.25,5.41655445077615e-15
"SLC24A2",4.04635403278865e-22,3.33154148398553,1,0.52,7.46633246130161e-18
"LINC01411",8.31444883735329e-16,3.32811992860163,0.364,0.034,1.53418209946843e-11
"AC110285.1",5.71214341726455e-16,3.28939831082198,0.409,0.048,1.05400470335366e-11
"PA2G4P6",0.0248083067412684,3.25472455976875,0.273,0.151,1
"FAM222A",2.15791024292475e-17,3.25167798296065,0.477,0.06,3.98177598024475e-13
"PMP22",1.13332250087925e-23,3.25046071429109,0.977,0.366,2.09120667862239e-19
"OSTF1",4.53991603410086e-09,3.23795235032667,0.591,0.224,8.3770530661229e-05
"C9orf85",2.30894719438039e-06,3.22563662113143,0.455,0.176,0.0426046936307069
"POC1B",1.43614828314998e-05,3.21391078373316,0.477,0.205,0.264998081206834
"GLTP",4.02676335913833e-23,3.19655286634431,1,0.438,7.43018375028204e-19
"NT5DC1",1.96097287729372e-13,3.16868935052691,0.705,0.23,3.61838715318238e-09
"YEATS2.AS1",1.94310645689566e-10,3.16492432038395,0.295,0.04,3.58542003426387e-06
"TTYH2",1.69468676145513e-30,3.16261473971621,0.818,0.111,3.12703601223701e-26
"SEMA3B",1.56653682323413e-09,3.15987133677839,0.386,0.088,2.89057374623162e-05
"HSD11B1",7.52207532764397e-18,3.15783319642271,0.523,0.077,1.38797333945686e-13
"CMTM5",1.05255286005394e-16,3.14356480491412,0.364,0.031,1.94217053737154e-12
"ATG4C",5.32564566245164e-17,3.14338658662939,0.773,0.222,9.82688137635578e-13
"TP53TG5",2.30900839540973e-26,3.13593865720056,0.5,0.031,4.26058229121004e-22
"STRN",1.69731022515714e-09,3.13360489602243,0.727,0.33,3.13187682745996e-05
"NXPE3",3.13678784178539e-15,3.12482550353562,0.795,0.29,5.78800092566241e-11
"MAP7",6.70144567515148e-20,3.11335104965754,0.977,0.378,1.23655075597895e-15
"MYO1D",9.73894152650376e-10,3.1084591566627,0.5,0.131,1.79702949047047e-05
"KCNH8",6.03893100220362e-25,3.09899023661161,0.864,0.196,1.11430354852661e-20
"LACTB2",2.50245724060393e-08,3.09632460785429,0.409,0.108,0.000461753410036237
"MYLK",2.09671938844237e-07,3.08490713634658,0.614,0.301,0.00386886661555387
"C5orf64",1.48504649842058e-06,3.08386324318146,0.409,0.134,0.0274020779888565
"OLIG2",5.57292609085011e-27,3.08073127211286,0.727,0.094,1.02831632228366e-22
"FKBP7",0.0101498752850085,3.07734818613246,0.25,0.116,1
"PDE8A",6.85748619763564e-19,3.06898235423402,0.909,0.318,1.26534335318773e-14
"TMC7",7.25343822715866e-16,3.06659774872902,0.591,0.119,1.33840442167532e-11
"RGCC",9.68591100671063e-26,3.0436426448905,0.932,0.21,1.78724429895825e-21
"GPD1",0.000302406741488575,3.03870122197643,0.25,0.082,1
"FUT8",5.05927281585705e-14,3.03697089415016,0.955,0.605,9.33537019981943e-10
"RNF13",7.22890001994508e-16,3.03452368970223,0.955,0.588,1.33387663168027e-11
"ARAP2",5.65504028983437e-21,3.0075530854853,0.955,0.44,1.04346803428024e-16
"TTLL7",2.74144222215506e-21,2.99771481109322,1,0.608,5.05850918832051e-17
"SVIP",6.67236391938604e-16,2.99537844225962,0.818,0.307,1.23118459040511e-11
"PLCL1",6.57091066468147e-13,2.993195766082,0.705,0.224,1.21246443584702e-08
"DAAM2",2.1198523136156e-22,2.98550899740301,0.636,0.094,3.91155148908351e-18
"AL591895.1",2.65610002954425e-06,2.98438203918513,0.295,0.077,0.0490103577451506
"NIPAL4",2.85917660613873e-15,2.97815561095678,0.295,0.02,5.27575267364718e-11
"NACAD",1.39002150649397e-11,2.96625120864546,0.591,0.162,2.56486768378268e-07
"ITGA2",4.95718182193341e-06,2.96200756169131,0.295,0.082,0.0914699189783153
"MEGF10",7.80152807097276e-08,2.95952227903807,0.682,0.301,0.00143953795965589
"PCSK6",3.90490854580615e-12,2.94999891771014,0.591,0.153,7.20533724872151e-08
"PLA2G16",4.34246325542122e-21,2.94799227187181,0.932,0.312,8.01271319890323e-17
"AP000936.3",3.99572583844163e-08,2.91970856398195,0.545,0.219,0.00073729133170925
"CRYBG3",0.0456393664578358,2.91718419474169,0.318,0.207,1
"ABCG1",1.81170676677472e-17,2.91569687747456,0.75,0.193,3.34296132605271e-13
"IPO13",1.39444704076303e-15,2.91418793868985,0.682,0.165,2.57303367961594e-11
"MAN2A1",2.48750954131101e-13,2.90525408273872,0.886,0.409,4.58995260562708e-09
"ENPP4",2.92057498722726e-13,2.89582071256838,0.795,0.281,5.38904496643174e-09
"GLDN",9.37292888654439e-30,2.88956706144572,0.909,0.182,1.72949283814517e-25
"MYO1E",7.1599423496628e-19,2.88548956051822,0.773,0.182,1.32115256235978e-14
"PDE1C",1.82491336264232e-19,2.87938125618228,0.932,0.287,3.3673301367476e-15
"ENPP6",2.2176151107023e-14,2.87738071333604,0.295,0.023,4.09194340226789e-10
"AC092958.1",1.05699740101428e-36,2.86383997630763,0.682,0.04,1.95037160435155e-32
"LIPA",2.54119867380936e-21,2.85762621658579,0.932,0.321,4.68901979291304e-17
"SLC31A2",5.06830587899633e-25,2.85751968067346,0.568,0.051,9.35203800792402e-21
"CLIC4",2.05042292907377e-16,2.84801299917165,0.886,0.398,3.78344038872692e-12
"C9orf3",3.39543107398203e-12,2.84695773482433,0.795,0.29,6.26524941771164e-08
"SEMA6A.AS1",1.16425292615827e-11,2.84219652038564,0.432,0.082,2.14827949934723e-07
"BCAS1",8.53554939129343e-35,2.84125032421958,0.977,0.188,1.57497957368146e-30
"ZDHHC9",3.7809876081738e-17,2.83929751346465,0.909,0.372,6.9766783346023e-13
"KLHL4",5.50571454075863e-10,2.83588525786964,0.409,0.091,1.01591444706078e-05
"VWA1",6.36957623748836e-17,2.82255498471753,0.455,0.057,1.17531420734135e-12
"EDIL3",4.45595861974212e-21,2.81547082020143,1,0.545,8.22213484514815e-17
"VAMP3",1.37884763502281e-13,2.80448588747976,0.75,0.259,2.54424965614409e-09
"TMEM206",2.04081170538353e-13,2.80156346082712,0.705,0.227,3.76570575877369e-09
"AC003659.1",2.5066807054505e-08,2.7983293067278,0.477,0.151,0.000462532723769726
"ITM2A",4.15109529857486e-21,2.79234412192045,0.773,0.179,7.65960104493033e-17
"PRCD",2.74348895239383e-12,2.78810444315801,0.386,0.06,5.0622858149571e-08
"ZNF365",2.64504715656572e-10,2.78794952288501,0.636,0.199,4.88064101329507e-06
"TMC6",8.74476174479311e-06,2.78003431605809,0.295,0.08,0.161358343714922
"HTATIP2",9.47261050331794e-08,2.77959629300199,0.318,0.071,0.00174788609007223
"PLEKHB1",1.95971351792503e-23,2.76905284777282,0.932,0.253,3.61606338327526e-19
"NEK3",1.96622669107606e-10,2.7664767949612,0.591,0.202,3.62808149037355e-06
"CPPED1",9.6732909750178e-06,2.76512863938186,0.273,0.071,0.178491565071028
"AFG3L1P",0.560634326314076,2.75596953579069,0.25,0.312,1
"TYMSOS",1.06193722889747e-15,2.75183297546748,0.386,0.043,1.95948657476162e-11
"PAIP2B",7.09257774913132e-07,2.75068053148031,0.477,0.173,0.0130872244626971
"REEP3",4.36981642563958e-17,2.75040952413951,0.955,0.48,8.06318526859015e-13
"IGSF8",0.00658036575554625,2.75007663078682,0.545,0.315,1
"PEX5L",1.25493258104728e-19,2.74948292455441,0.977,0.364,2.31560159854845e-15
"CPOX",2.06494309798935e-12,2.74467368930147,0.477,0.097,3.81023300440995e-08
"VRK2",2.11661104384239e-07,2.7262962571091,0.5,0.17,0.00390557069809797
"CERS2",1.10049129787535e-11,2.72543211365069,0.591,0.188,2.0306265428396e-07
"AL136298.1",0.00742605539717225,2.72505882748203,0.273,0.134,1
"S100B",2.57936859220161e-23,2.72431272544483,1,0.344,4.75945092633041e-19
"GPRC5B",7.45585042924505e-23,2.72427965967342,1,0.406,1.3757535212043e-18
"CUTC",0.00243013217622887,2.7223887235316,0.386,0.205,1
"CCDC122",0.0137532076844819,2.71906302511494,0.295,0.151,1
"SYNGR2",3.13773428477124e-14,2.71876099878862,0.545,0.105,5.7897473022599e-10
"FAM102A",4.12414719752057e-14,2.71170828396387,0.773,0.256,7.60987640886495e-10
"MANBA",0.0561348589904334,2.71035712524533,0.455,0.321,1
"AL354809.1",6.15422475315541e-06,2.70382330954358,0.318,0.094,0.113557755145224
"NDE1",6.83202195617376e-14,2.70153087793663,0.386,0.051,1.26064469135318e-09
"SEMA4D",4.00248165896566e-17,2.6933233637463,1,0.466,7.38537915712343e-13
"MCAM",3.04714835150242e-21,2.69256753731591,0.795,0.179,5.62259813819226e-17
"CP",0.000337863832602844,2.69081462335183,0.295,0.102,1
"PACRG.AS3",2.43354580374913e-06,2.6840228638649,0.25,0.054,0.0449037871707789
"RPL23AP18",0.580709672626947,2.67451408569945,0.295,0.341,1
"KCNJ2",2.4061585121907e-18,2.6710890624297,0.909,0.315,4.43984368669428e-14
"RETREG1",2.66758981106856e-08,2.6700777038677,0.75,0.389,0.00049222367193837
"DNAH17.AS1",0.991730272713396,2.66374759752105,0.386,0.401,1
"ENSG00000288982.1",5.73318839952247e-09,2.66296501272243,0.477,0.142,0.000105788792347989
"HIST1H2AC",1.12898225203031e-10,2.66244620839791,0.591,0.19,2.08319805144633e-06
"TPPP",2.97429356517166e-15,2.66189945052298,0.864,0.318,5.48816648645474e-11
"TMEM38B",2.11525701813591e-05,2.65213284021953,0.455,0.188,0.390307224986438
"AC106791.1",0.0249894109383697,2.64817560240217,0.477,0.338,1
"PBLD",0.194178744601039,2.64732838168153,0.25,0.188,1
"FAM84B",1.19951266166104e-14,2.6206364194125,0.568,0.114,2.21334076329695e-10
"WIPF1",1.41854855725581e-17,2.61543183217551,0.636,0.125,2.61750579784842e-13
"FRYL",8.19122260805433e-18,2.60730840840682,1,0.759,1.51144439563818e-13
"SNX22",2.67445605704148e-13,2.60693603384578,0.591,0.145,4.93490631645293e-09
"KCNMB4",4.83560530565189e-14,2.60041823639022,0.818,0.304,8.92265890998887e-10
"LARP6",3.97017132504164e-17,2.59870850808998,0.795,0.21,7.32576012896684e-13
"HDAC2.AS2",1.86550883782867e-07,2.59410339894583,0.545,0.219,0.00344223690756146
"COL9A3",8.81021281581702e-10,2.59384065206761,0.273,0.037,1.62566046877456e-05
"PRUNE2",7.80694204347858e-14,2.58756403731276,0.932,0.452,1.44053694586267e-09
"PPP2R2A",1.4741927512464e-08,2.58688044576093,0.841,0.52,0.000272018046459986
"AZGP1",1.13380641801638e-12,2.57195344015929,0.295,0.028,2.09209960252383e-08
"AHR",3.40565256430497e-06,2.56390088519333,0.341,0.102,0.0628411011165553
"SHC4",1.88735840821168e-10,2.56169632983188,0.545,0.165,3.4825537348322e-06
"PPP1R16B",1.22351316249712e-09,2.56145000114649,0.5,0.139,2.25762648743969e-05
"HAPLN2",8.28328154940132e-20,2.55989047876432,0.409,0.031,1.52843111149553e-15
"STK39",1.41736707180722e-07,2.55261214605578,0.636,0.298,0.00261532572089867
"MOB3B",7.51825720580554e-14,2.54866498779921,0.659,0.19,1.38726881961524e-09
"ERBIN",1.1365542571275e-14,2.54677943868373,1,0.639,2.09716991525166e-10
"STARD9",0.00547358519709128,2.54279304647722,0.432,0.261,1
"RNH1",3.02124695808587e-05,2.53888663017318,0.409,0.162,0.557480488706005
"TUBB4A",2.98129572694221e-15,2.53840625955878,1,0.511,5.50108687535376e-11
"SOX8",4.58350469246475e-17,2.53482185667356,0.568,0.097,8.45748285853596e-13
"PDE6B",4.93075306549092e-10,2.52450071799368,0.614,0.222,9.09822555644384e-06
"SPOCK3",4.58167504892062e-21,2.51514651316269,1,0.392,8.45410680026834e-17
"P2RX7",1.69809984298455e-18,2.50858125592136,0.841,0.233,3.13333383027508e-14
"OLIG1",4.0156519066969e-26,2.50769970419097,0.864,0.153,7.40968089823712e-22
"RFTN2",6.57654934486735e-13,2.50764288511004,0.932,0.435,1.21350488511492e-08
"MBNL2",2.37942903972149e-16,2.50710243606738,0.955,0.602,4.39052246409408e-12
"PRR5L",1.18956091482233e-08,2.50007360313464,0.273,0.045,0.000219497780003017
"TMEM98",6.56067906835846e-18,2.49725567661168,0.705,0.159,1.2105765016935e-13
"LAYN",1.05836300557042e-10,2.48318487638357,0.318,0.045,1.95289141787855e-06
"CREB5",3.97003389474064e-22,2.4807850270353,1,0.429,7.32550654257543e-18
"BIN1",4.74839614742905e-10,2.47793361014799,0.75,0.33,8.76174057123609e-06
"RNU6.151P",3.94807198303049e-05,2.47602543274587,0.318,0.105,0.728498242308786
"SFR1",1.59059825597027e-06,2.47433468296262,0.432,0.151,0.0293497190191635
"NECTIN1",2.96833242420233e-05,2.47300756791617,0.455,0.19,0.547716698913813
"DPYD",1.66757389677522e-08,2.47133607898916,0.636,0.241,0.000307700735432963
"APLP1",3.65824239237864e-14,2.46333948474006,0.977,0.599,6.75018886241707e-10
"TJAP1",5.85350156623647e-10,2.46133115155278,0.523,0.151,1.08008810900195e-05
"XRRA1",0.0938796578381678,2.45899560204582,0.341,0.224,1
"GPM6B",1.14351037281148e-20,2.44868605218577,1,0.855,2.11000533991174e-16
"LIG3",0.0154794702807536,2.44476092472001,0.409,0.244,1
"ENDOD1",8.67603101398993e-16,2.44414826374275,0.886,0.366,1.60090124270142e-11
"RAB40B",4.32717131956615e-11,2.4395971526499,0.636,0.219,7.98449651886345e-07
"SH3GLB2",4.57033094363087e-05,2.43563143400575,0.409,0.162,0.843317465718769
"FAM122B",0.4173900631505,2.42720844406481,0.25,0.205,1
"PHLDA3",2.07045308710868e-07,2.42712818660558,0.341,0.082,0.00382040003633294
"SEMA6A",1.46253093421373e-15,2.42682660363268,1,0.528,2.69866207981118e-11
"IFIT2",3.02871888477055e-10,2.4258803522948,0.614,0.19,5.58859208617861e-06
"CSRP1",1.55627868283117e-23,2.42320072001535,1,0.293,2.87164542556007e-19
"FZD5",4.15222245974791e-05,2.42147700714827,0.318,0.108,0.766168088272684
"LACC1",3.20910565720014e-07,2.42133395249678,0.364,0.097,0.00592144175866569
"GAB1",1.6970976815699e-17,2.41915193078467,0.909,0.321,3.13148464203277e-13
"RNF220",2.87199207510532e-11,2.41492075276525,0.841,0.375,5.29939977698433e-07
"NKD1",1.46653403224847e-06,2.414383808719,0.341,0.094,0.0270604859630488
"ABHD17B",7.78010446586346e-11,2.41303884501199,0.682,0.253,1.43558487604113e-06
"FRMD4B",1.38394792406832e-14,2.41113917079946,0.932,0.449,2.55366070949086e-10
"ADIPOR2",1.82063103283513e-06,2.40917049224685,0.341,0.094,0.0335942838178738
"TMTC2",7.10268075135589e-13,2.40422307495596,0.818,0.338,1.31058665224019e-08
"NIPAL3",4.03110234394382e-18,2.40365243044825,0.977,0.401,7.43819004504513e-14
"CPM",1.43827690779515e-11,2.40289754450611,0.636,0.216,2.65390855026361e-07
"CDCA7L",0.00232801481648887,2.39816368071445,0.25,0.097,1
