"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CNDP1",1.09401744174753e-46,7.73960967200476,0.977,0.131,2.01868098351255e-42
"SH3TC2",2.68300498686586e-32,7.65483238035418,0.705,0.077,4.95068080176489e-28
"ERMN",5.25515037385747e-50,7.63711131798467,1,0.122,9.6968034698418e-46
"FOLH1",8.51020268299271e-45,7.57151565047781,0.773,0.048,1.57030259906581e-40
"KLK6",2.56221912191469e-57,7.49604794292681,0.886,0.043,4.72780672375698e-53
"MAG",1.43050674809754e-67,7.43117892327149,0.886,0.014,2.63957105158959e-63
"OPALIN",2.42605451973625e-54,7.18105496290342,0.977,0.085,4.47655579981734e-50
"PLP1",1.00443649641764e-33,6.66821219502661,1,0.338,1.85338622318983e-29
"CLCA4",4.94754567851353e-19,6.62052196270485,0.364,0.026,9.12921128599317e-15
"CTNNA3",1.08095509912121e-35,6.35520424976166,0.705,0.06,1.99457834889846e-31
"TMEM144",9.85431161034469e-34,6.34829085343059,1,0.33,1.8183175783408e-29
"ABCA8",7.30185037678527e-42,6.29098106870867,0.932,0.128,1.34733743152442e-37
"CLDN11",7.24809359422871e-27,6.247248182527,1,0.574,1.33741823000708e-22
"DBNDD2",6.27736943292265e-40,6.23281365349083,0.909,0.111,1.15830020776289e-35
"LINC01608",8.74248400139765e-20,6.11758514816628,0.523,0.074,1.6131631479379e-15
"TF",1.42333769708103e-33,6.11036239007364,1,0.335,2.62634271865392e-29
"ENPP2",5.9130206465556e-37,6.09763752667723,1,0.259,1.09107056970244e-32
"MOG",2.02607162729347e-65,6.08314804848388,0.955,0.034,3.73850736668191e-61
"AC018647.1",1.05377790542113e-44,5.98417179189707,0.909,0.094,1.94443099108308e-40
"UGT8",8.18182411862303e-49,5.95235178384445,1,0.119,1.50971018636832e-44
"HHIP",5.43612410604262e-37,5.9359607883269,1,0.233,1.00307362004698e-32
"LINC00320",5.22202702991332e-31,5.92169385860881,0.795,0.114,9.63568427559606e-27
"RNASE1",6.25899440107333e-50,5.88404578310739,1,0.105,1.15490964688605e-45
"AC098679.2",3.58871166805758e-32,5.80567834425022,0.523,0.023,6.62189076989985e-28
"CARNS1",5.33149957672753e-55,5.65631716490878,0.977,0.074,9.83768301897764e-51
"ADAMTS18",9.73815601302649e-26,5.58853232493596,0.568,0.057,1.79688454752365e-21
"ENSG00000289314.1",2.85406613700612e-28,5.4778261152673,0.705,0.099,5.26632283600369e-24
"MOBP",4.05187270183762e-41,5.37096052131829,0.977,0.162,7.47651550943077e-37
"SLCO1A2",9.50209028709752e-48,5.35191651773521,0.932,0.082,1.75332569977523e-43
"CAPN3",1.0248876400674e-46,5.33232274431412,0.886,0.074,1.89112267345237e-42
"MYRF",1.65306599666242e-48,5.32051645579148,0.932,0.077,3.0502373770415e-44
"TMEM88B",1.811763955822e-55,5.25990223993059,0.955,0.065,3.34306685128276e-51
"SELENOP",1.39910736441387e-33,5.21635380222968,0.886,0.159,2.58163290881647e-29
"LINC00844",9.65142798662196e-28,5.21460405178842,0.932,0.312,1.78088149209148e-23
"ASPA",7.55161817322433e-33,5.21006706836605,0.864,0.145,1.39342458532335e-28
"ANLN",2.04224897142227e-36,5.17890826641573,1,0.23,3.76835780206837e-32
"SEPT4",1.74683440111316e-29,5.1487309256504,1,0.312,3.22325883693401e-25
"LPAR1",1.9877562446233e-38,5.10418251200504,0.864,0.102,3.66780782257892e-34
"MBP",1.0108115036372e-28,5.09321017122324,1,0.389,1.86514938651135e-24
"GJB1",3.26660424470251e-47,5.08935683253221,0.727,0.028,6.02753815232507e-43
"ENSG00000289279.1",4.15376400665856e-24,5.04028215149889,0.364,0.011,7.66452534508637e-20
"COL4A5",8.26807246992436e-38,5.02297593885796,0.977,0.188,1.52562473215044e-33
"LINC00486",2.4699972785406e-07,5.02296114844331,0.273,0.057,0.00455763897836312
"C10orf90",7.63930257398297e-33,5.01993152561436,0.841,0.128,1.40960411095134e-28
"CLDND1",1.54880916453091e-27,4.97977806299622,1,0.619,2.85786267039244e-23
"EVI2A",2.60338830124902e-34,4.95901520935315,1,0.244,4.80377209346469e-30
"SGK2",5.32975846129715e-18,4.95200571838716,0.409,0.04,9.8344703127855e-14
"GPR37",7.84683033301777e-40,4.88880708021191,1,0.173,1.44789713304844e-35
"AC004925.1",3.46949105225974e-29,4.86382699591393,0.432,0.011,6.40190488962966e-25
"AC090502.1",7.36227603517921e-14,4.85637532435427,0.341,0.04,1.35848717401127e-09
"PIP4K2A",2.54849341675227e-26,4.83753596093185,1,0.645,4.7024800525913e-22
"QDPR",3.42566005522705e-27,4.79663017452586,0.977,0.392,6.32102793390495e-23
"HSPA2",3.51758538889941e-30,4.74147068547219,0.932,0.216,6.4906485595972e-26
"CYB5R2",1.10448740527412e-26,4.73578871357517,0.591,0.054,2.0380001602118e-22
"LDLRAP1",3.55802918276618e-19,4.69668758327998,0.318,0.014,6.56527544804015e-15
"NINJ2",5.2209143226442e-35,4.68455743347977,0.591,0.028,9.63363110814308e-31
"PRRG1",2.97342885158772e-33,4.66883601753677,0.841,0.105,5.48657091694966e-29
"MAL",8.55406377014105e-40,4.61478514331619,0.909,0.105,1.57839584686643e-35
"DOCK5",2.32459123615047e-27,4.60506051573106,0.932,0.347,4.28933574894484e-23
"PPP1R14A",6.95032584366295e-49,4.57690835535964,0.818,0.043,1.28247412467269e-44
"CLMN",1.74629045472363e-32,4.56820829415623,0.932,0.19,3.22225514705604e-28
"ART3",6.53460591857336e-12,4.56063707830157,0.318,0.04,1.20576548409516e-07
"LDB3",6.25108575409645e-18,4.55728000800784,0.523,0.085,1.15345034334588e-13
"CNP",9.73342957485193e-26,4.54968367073685,1,0.668,1.79601242515168e-21
"MPL",5.92334794675725e-09,4.52356195605701,0.364,0.08,0.000109297616313565
"LRP2",2.77878513724164e-21,4.5056649588341,0.614,0.091,5.12741433523828e-17
"CNTN2",1.9365692322709e-24,4.49973579396339,0.955,0.349,3.57335754738627e-20
"PLEKHH1",1.45764077322335e-28,4.49765228026764,0.864,0.185,2.68963875475172e-24
"AC008505.1",3.71594369288649e-13,4.48614062039379,0.273,0.023,6.85665930211416e-09
"CDH19",2.69068961026347e-45,4.45848866012475,0.864,0.065,4.96486046885816e-41
"SHROOM4",1.20078202433629e-16,4.44107370116556,0.5,0.074,2.21568299130531e-12
"TMEM125",8.22427432688205e-35,4.43990196032643,0.545,0.02,1.51754309879628e-30
"SEC14L5",4.43689809203847e-22,4.43548870860299,0.545,0.062,8.18696435942939e-18
"CD9",3.79951115342328e-33,4.41367890134353,0.977,0.239,7.01085798029664e-29
"FGF1",2.85604522832591e-26,4.40934012836968,0.841,0.179,5.26997465530698e-22
"TRPM6",4.69120714387068e-09,4.38665862866426,0.273,0.043,8.65621542187018e-05
"RAPGEF5",2.57432844327917e-30,4.38066896945614,0.955,0.239,4.75015084353873e-26
"CHRM5",8.34450324794519e-07,4.35481997644474,0.273,0.06,0.0153972773931085
"PRR18",2.99630939898554e-40,4.34753519816269,0.795,0.062,5.52879010300812e-36
"ERBB3",1.47674519355414e-27,4.31534906374882,0.955,0.276,2.72489023114609e-23
"TSPAN15",7.59731719722755e-25,4.2790614452755,0.545,0.048,1.40185696923243e-20
"RHBDL2",1.28603730843729e-07,4.27575346212765,0.386,0.111,0.00237299604152849
"FAM107B",9.50115051839475e-30,4.2736059087878,1,0.327,1.7531522936542e-25
"PLPP2",3.440109798819e-25,4.26945046805174,0.636,0.082,6.34769060078082e-21
"PCA3",5.24745033552439e-10,4.26748031086499,0.432,0.111,9.6825953591096e-06
"AL358216.1",8.53610604738459e-30,4.25178327085908,0.614,0.051,1.5750822878634e-25
