"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GLIS3",6.00637679707693e-26,4.75619731544675,0.672,0.115,1.10829664659664e-21
"SLC7A10",2.39570439375452e-25,4.75267943141104,0.448,0.03,4.42055374735584e-21
"PLTP",1.06465022106955e-43,4.74098084572403,0.81,0.077,1.96449258791754e-39
"F11.AS1",2.0136559431583e-25,4.73742541583,0.414,0.021,3.7155979463157e-21
"ENSG00000288760.1",2.63167518996255e-20,4.73085046715145,0.328,0.015,4.85596706051891e-16
"GPC5",2.22336115224109e-34,4.71954706680803,0.655,0.056,4.10254599811526e-30
"ALDH1A1",6.42488073433555e-19,4.71043910365585,0.397,0.038,1.1855189930996e-14
"RPL31P54",3.52963862245042e-29,4.70903186343455,0.5,0.03,6.51288918614551e-25
"AL160272.1",1.49742695969574e-25,4.69461884721933,0.534,0.056,2.76305222603058e-21
"PDGFRB",4.12886483437471e-44,4.67804633024331,0.862,0.095,7.61858139238821e-40
"TTYH1",9.63861190562585e-38,4.67640546865856,0.759,0.08,1.77851666882608e-33
"IL33",3.29000527176015e-37,4.64839483324634,0.828,0.124,6.07071772745182e-33
"SFXN5",1.57102684461408e-41,4.6206218951428,1,0.251,2.89885873368189e-37
"F3",2.11101240330508e-39,4.61210488144264,0.983,0.281,3.89524008657853e-35
"ATP13A4",3.26051826072439e-42,4.61105846559553,1,0.266,6.01630829468864e-38
"ENSG00000286757.3",1.9794897667437e-24,4.60712557451122,0.448,0.033,3.65255451759548e-20
"LINC00391",1.08564527893823e-14,4.604009955458,0.276,0.021,2.00323266869682e-10
"RLBP1",2.66035759172395e-17,4.5907580799332,0.345,0.03,4.90889182824903e-13
"CLU",4.83007600584843e-33,4.58648332196378,1,0.651,8.91245624599153e-29
"KLKB1",1.44578135878629e-08,4.57105671126523,0.259,0.047,0.000266775576323246
"AC008957.1",5.1670684983067e-39,4.56235381908115,0.621,0.03,9.53427479307552e-35
"ITGA7",1.54564962579538e-22,4.56123450016402,0.69,0.133,2.85203268951764e-18
"SLC7A11",2.61809236884599e-45,4.54043149540856,0.948,0.136,4.83090403899461e-41
"AC107871.2",3.76963557172326e-17,4.53316142978933,0.276,0.012,6.95573155694375e-13
"AL137145.2",4.74453243409734e-25,4.48328895201646,0.552,0.065,8.75461124739642e-21
"ERBB2",8.55823749017374e-11,4.47492951747862,0.328,0.062,1.57916598168686e-06
"AC007666.1",1.1514383437261e-29,4.4736357787175,0.603,0.062,2.1246340318434e-25
"SLC4A4",6.53970960038484e-44,4.4606104380648,1,0.204,1.20670721546301e-39
"NWD1",5.16807560584107e-26,4.45815624091338,0.672,0.115,9.53613310789795e-22
"MT1M",3.15781046154214e-33,4.43207031094223,0.672,0.068,5.82679186363755e-29
"HEPACAM",9.73724834946764e-39,4.43134755979396,0.862,0.13,1.79671706544377e-34
"PLPP3",2.44211100414704e-38,4.42167807377631,0.966,0.246,4.50618322485211e-34
"AL133330.2",1.41509616407579e-38,4.41235571021587,0.69,0.05,2.61113544195265e-34
"AC007389.1",3.09470551598662e-07,4.40975437496088,0.259,0.059,0.0057103506180985
"EMX2OS",1.25391391423063e-37,4.39614812918287,0.776,0.092,2.31372195453835e-33
"COL5A3",4.83766056236751e-44,4.36098508917324,0.845,0.086,8.92645126968052e-40
"CST3",2.97322063556552e-34,4.36039075459202,0.966,0.343,5.48618671674549e-30
"LINC00982",9.39114315112018e-24,4.34447409907758,0.431,0.03,1.7328537342447e-19
"PSD2",5.41154057563882e-37,4.3441075614641,0.966,0.246,9.98537467016876e-33
"ACSS1",1.55888464588768e-31,4.33151342031502,0.776,0.13,2.87645394859195e-27
"AC008957.2",3.6594156119582e-51,4.32848898231278,0.914,0.083,6.75235368718527e-47
"AC007637.1",2.05505895756379e-16,4.32756077735211,0.31,0.024,3.79199478849671e-12
"GPC5.AS1",2.6424323679367e-46,4.32031815667044,0.724,0.033,4.87581620531681e-42
"SLC1A3",6.689784261504e-35,4.31622210122199,1,0.544,1.23439899193272e-30
"AL117335.1",1.66687750045589e-28,4.31460597956711,0.483,0.027,3.0757223638412e-24
"SMOX",9.96386294750834e-13,4.3132552989321,0.466,0.112,1.83853199107424e-08
"PLEKHO2",3.00051348304726e-19,4.31120915894901,0.379,0.033,5.5365474789188e-15
"PHYHD1",2.88196624076397e-20,4.30669005011968,0.517,0.077,5.31780410745768e-16
"ACKR3",2.37399081063022e-27,4.29443614857834,0.534,0.044,4.38048784377488e-23
"AC007325.2",1.06807660856621e-30,4.27986403532082,0.5,0.024,1.97081495812638e-26
"MT3",4.52421925533115e-34,4.27927160488477,0.966,0.346,8.34808936993705e-30
"RPS27AP13",1.15545895308925e-12,4.27662677918878,0.276,0.03,2.13205286024028e-08
"SLC25A48",1.63604145033323e-38,4.2755491996814,0.776,0.083,3.01882368415488e-34
"AC108215.1",1.4452569740764e-24,4.25050118256389,0.517,0.05,2.66678816856577e-20
