gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RELN,3.08639519955302E-20,5.30620866315612,0.645,0.238,5.69501642221523E-16
CDH9,6.83678671466939E-31,5.10489246677877,0.664,0.129,1.2615238845908E-26
KMO,1.78787127806037E-16,5.01986497186806,0.345,0.045,3.298980082277E-12
OPRK1,1.21169911261277E-28,5.00108479508452,0.509,0.045,2.23582720259308E-24
PCP4L1,8.68812469411191E-30,4.92721057998811,0.536,0.052,1.60313276855753E-25
VIP,1.97523045975004E-29,4.83823863147703,0.727,0.189,3.64469524433078E-25
STAT4,1.65440533869444E-24,4.80937909556705,0.391,0.017,3.05270873095899E-20
MRAP2,2.50142585461614E-21,4.63899984637583,0.336,0.014,4.61563098693771E-17
CCK,5.62737329684495E-44,4.58651396792813,0.864,0.171,1.03836292073383E-39
RPH3A,5.92879882901959E-33,4.53047864887191,0.636,0.08,1.0939819599307E-28
PTHLH,1.79567578795073E-24,4.47461484709286,0.5,0.066,3.31338096392669E-20
VWC2,1.48503100031197E-33,4.45803196289726,0.591,0.056,2.74017920177564E-29
TAC3,4.1677629769384E-18,4.42330324108169,0.382,0.049,7.69035624504674E-14
GABRA1,1.72299772574616E-51,4.42232459358355,0.945,0.217,3.17927540354682E-47
COL21A1,2.20813367288682E-24,4.34893950328247,0.564,0.105,4.07444825321077E-20
CHRM1,1.0692239832923E-29,4.33996490830788,0.509,0.038,1.97293209397095E-25
SERTM1,3.79033402359964E-19,4.31809083756842,0.327,0.021,6.99392434034605E-15
HTR2A,2.34496143356152E-12,4.29193726538672,0.336,0.07,4.32692283720771E-08
PNOC,1.09142764843206E-15,4.28324272625628,0.336,0.045,2.01390229688683E-11
RGS4,1.29074324181772E-19,4.27924999188065,0.445,0.07,2.38167942980207E-15
SLC10A4,1.59063405566538E-22,4.26794698965483,0.5,0.08,2.93503795951375E-18
CALB2,7.7919546900229E-38,4.26634324831443,0.718,0.101,1.43777147940303E-33
TLE2,1.25832252086997E-21,4.25044658446543,0.445,0.056,2.32185671550927E-17
VWC2L,6.864687663165E-24,4.20479668170751,0.436,0.038,1.26667216760721E-19
ZCCHC12,7.77695419851471E-34,4.19828117351348,0.7,0.122,1.43500358870994E-29
BTBD11,2.37759962466636E-29,4.15825753626412,0.573,0.073,4.38714682743437E-25
RASD2,2.44531552964018E-24,4.08225699099096,0.427,0.031,4.51209621529205E-20
SYNPR,3.55023430742988E-53,4.06272265843741,0.927,0.143,6.55089234406962E-49
GDA,3.40587054875918E-27,4.05664192643316,0.591,0.098,6.28451233657044E-23
ZMAT4,1.56750149437256E-28,4.0352675878121,0.6,0.094,2.89235375741624E-24
GPR158,5.20040596383307E-32,4.0083111483806,0.627,0.077,9.59578908446478E-28
GABRG3,8.08242701115329E-26,4.00393710762127,0.518,0.063,1.49136943209801E-21
GRIN3A,4.25029945187553E-09,3.9832180592733,0.3,0.077,7.84265254860072E-05
CAMK1G,3.31877619054655E-19,3.98286026680187,0.427,0.066,6.1238058267965E-15
GABRG2,1.68959659168365E-49,3.97722803548351,0.991,0.287,3.11764363097467E-45
PACSIN1,5.96735183463414E-31,3.96347412397489,0.555,0.052,1.10109576052669E-26
PCDH11Y,7.80639770309701E-12,3.94028136379298,0.291,0.049,1.44043650417546E-07
LRRC2,4.22896473818688E-17,3.93750354510863,0.455,0.098,7.80328573490243E-13
SYTL5,2.61490365060964E-25,3.92286646035016,0.473,0.045,4.8250202161049E-21
VSNL1,3.80393804533247E-44,3.89971904142705,0.936,0.273,7.01902648124747E-40
NRIP3,6.13960796258529E-48,3.89781104367102,0.918,0.199,1.13288046125624E-43
