gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NEUROD6,7.50714062620887E-55,5.59279750609849,0.861,0.089,1.38521758834806E-50
CD24,1.71843533884018E-60,5.43796839444185,0.983,0.185,3.1708568872279E-56
DCX,7.52431473146766E-52,5.14055008894713,1,0.569,1.38838655425041E-47
SATB2,6.82568153859097E-48,5.0111730200071,0.913,0.21,1.25947475750081E-43
ADRA2A,4.4945857296628E-32,4.86882673174798,0.635,0.089,8.29340958837379E-28
DRAXIN,1.29278131564217E-22,4.7591949183982,0.496,0.078,2.38544008362294E-18
SCUBE1,2.17927281824994E-24,4.62750963831971,0.504,0.075,4.02119420423479E-20
AC108025.2,2.13997871289134E-22,4.2823911400846,0.365,0.018,3.9486887210271E-18
TBR1,3.10620626439768E-23,4.2470616430133,0.591,0.132,5.7315717990666E-19
ST8SIA2,7.46547908304073E-30,4.23618600682247,0.548,0.057,1.37753020040268E-25
BCL11A,5.98658550056298E-47,4.225304944103,0.965,0.342,1.10464475656388E-42
NKAIN1,1.44518199563001E-26,4.1500838019586,0.548,0.078,2.66664981833649E-22
SATB2.AS1,2.97757582529013E-26,4.1061067176945,0.539,0.078,5.49422291282534E-22
CUX2,1.61086181847273E-16,4.09680040777837,0.443,0.096,2.97236222744588E-12
SOX4,3.46970833244918E-50,4.08815352552029,1,0.751,6.40230581503523E-46
SEMA3A,2.33217175495434E-24,4.04140755004982,0.678,0.189,4.30332332224174E-20
BHLHE22,6.3580981106213E-20,4.01573763260777,0.391,0.039,1.17319626337184E-15
EPHA3,2.33204916457766E-27,4.00945381201347,0.696,0.167,4.30309711847869E-23
MEX3A,4.34042434420493E-47,3.98873116633062,0.861,0.128,8.00895099992694E-43
SOX11,5.41295246247079E-50,3.9822422784117,1,0.537,9.9879798837511E-46
STMN2,1.07013343306452E-46,3.9003753444293,0.991,0.537,1.97461021069064E-42
ENSG00000289363.1,1.98799066979791E-24,3.82283289251895,0.513,0.068,3.6682403839111E-20
NEUROD2,2.17955571877097E-38,3.7499471929877,0.8,0.196,4.02171621227619E-34
VASH2,3.02249629835912E-20,3.71289590784985,0.574,0.149,5.57711016973225E-16
CLMP,2.39097673568265E-12,3.68256036630586,0.383,0.096,4.41183027268163E-08
MN1,1.48320973810745E-33,3.60930985538791,0.835,0.221,2.73681860875587E-29
ZNF300,2.92833472411703E-21,3.59889645201749,0.548,0.117,5.40336323294074E-17
BX005019.1,6.57312259834072E-11,3.59488357877002,0.261,0.043,1.21287258184583E-06
TMSB15A,4.09456369381657E-48,3.58146503278812,0.791,0.071,7.55528892783033E-44
DPYSL3,9.69558027500769E-37,3.50823330499237,0.93,0.438,1.78902847234442E-32
MPPED1,8.94196064432119E-25,3.4889879386873,0.678,0.178,1.64997057809015E-20
ASXL3,7.33917068121874E-25,3.48265895845598,0.817,0.345,1.35422377409848E-20
PALMD,2.84908198723561E-17,3.46799986338687,0.426,0.078,5.25712608284715E-13
PRKX,0.01045984122312,3.43345865804825,0.252,0.16,1
SFTA1P,1.74204773339355E-16,3.42762955122224,0.383,0.06,3.21442647765777E-12
CSRP2,4.0189496957422E-27,3.41507631977582,0.757,0.228,7.41576597858351E-23
SEMA3C,1.9578226589986E-23,3.41254245429412,0.643,0.174,3.61257437038421E-19
SLA,3.20699565568034E-41,3.38980970361613,0.826,0.153,5.91754838386136E-37
LINC01122,6.28379079002162E-09,3.37473697765386,0.365,0.125,0.000115948507657
ISLR2,5.45076808332877E-11,3.37364526848502,0.313,0.068,1.00577572673583E-06
