"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
"1","1.67242238950586e-66","7.86470578698895","0.872","0.026","1.02999477702497e-61","MAG"
"2","4.45184916444365e-66","5.52412269286238","0.974","0.047","2.74176034490591e-61","MOG"
"3","1.03171068509492e-58","6.84808193934023","0.897","0.049","6.3539965962941e-54","KLK6"
"4","3.29474950891501e-51","5.22597256946973","0.949","0.084","2.02913738005549e-46","TMEM88B"
"5","7.44133865095563e-50","6.27545353840626","0.974","0.108","4.58289723496404e-45","OPALIN"
"6","3.54289647846543e-49","5.40947764528883","0.974","0.098","2.1819636541925e-44","CARNS1"
"7","1.43977442445019e-48","4.54113115310536","0.846","0.056","8.86713874786139e-44","PPP1R14A"
"8","4.04850210873614e-47","5.2959744679056","1","0.117","2.49335099370732e-42","RNASE1"
"9","2.59354749787069e-46","5.82386002647337","1","0.133","1.59728809751362e-41","UGT8"
"10","1.28028247796766e-45","4.57533552670949","0.769","0.049","7.88487569705944e-41","GJB1"
"11","2.50004041925141e-45","6.81553490147517","1","0.15","1.53969989300437e-40","ERMN"
"12","4.36376692018911e-45","5.34172173081344","0.923","0.098","2.68751313313687e-40","CAPN3"
"13","3.17784844726461e-44","5.44698488611104","0.923","0.096","1.95714152321685e-39","MYRF"
"14","6.30245445334019e-43","4.69371560683521","0.872","0.084","3.88149262417862e-38","CDH19"
"15","1.55739747979564e-41","6.76027525206598","0.974","0.162","9.59154385881741e-37","CNDP1"
"16","1.62464785064457e-40","4.94629922576588","0.923","0.117","1.00057187177647e-35","SLCO1A2"
"17","5.63663756540451e-39","5.74759993340516","0.897","0.122","3.47143597740568e-34","AC018647.1"
"18","6.98483300436809e-39","3.67290714823345","0.718","0.056","4.30174910240017e-34","FA2H"
"19","1.37482888184529e-38","4.93371302939642","0.897","0.115","8.46715863462061e-34","LPAR1"
"20","5.01060832557213e-38","5.99120087570095","0.923","0.126","3.08588334947011e-33","DBNDD2"
"21","1.60148599707119e-37","7.36338639512946","0.744","0.07","9.86307181016231e-33","FOLH1"
"22","1.73435093854648e-37","5.52630631850142","0.462","0.009","1.06813471252262e-32","SLC5A11"
"23","5.05965567764877e-36","4.29983118135288","1","0.19","3.11609014219355e-31","GPR37"
"24","8.97979007962832e-36","4.6544402086189","0.897","0.122","5.53038331634069e-31","MAL"
"25","4.46846201094502e-35","6.14458404713631","0.923","0.171","2.75199169868071e-30","ABCA8"
"26","5.84730104831964e-35","3.60132158731604","0.564","0.028","3.60117729662862e-30","TMEM125"
"27","1.06739457870914e-34","3.70824576026306","1","0.187","6.57376299189598e-30","ST18"
"28","1.36963228991802e-34","4.74779421172696","0.974","0.204","8.4351543839181e-30","MOBP"
"29","2.04795398981712e-34","4.94494420533239","0.872","0.117","1.26127342370867e-29","PRRG1"
"30","3.08721666400126e-34","4.48756444202921","0.769","0.082","1.90132412685845e-29","PRR18"
"31","8.40692032866301e-34","5.18149953418849","0.462","0.014","5.17757002281369e-29","AC004925.1"
"32","1.25055997030637e-33","4.07336364994817","0.872","0.119","7.70182368912583e-29","PLD1"
"33","4.68967713773644e-33","4.62597021789569","0.974","0.213","2.88823145881774e-28","COL4A5"
"34","6.55892226140304e-33","5.46794889391572","1","0.26","4.03944345313029e-28","HHIP"
"35","7.31026302328743e-33","2.98781002817064","0.974","0.197","4.50217168815203e-28","BCAS1"
"36","7.5002597951474e-33","3.19670086063956","0.641","0.049","4.61918500003743e-28","CD22"
"37","9.25690878655527e-33","3.36741165397693","0.744","0.082","5.70105241437579e-28","ELOVL1"
"38","1.42870521597573e-32","1.5855708071191","0.949","0.185","8.79896681362972e-28","ADAMTS4"
"39","2.65215180793738e-32","4.94433406853291","1","0.262","1.63338073395439e-27","ANLN"
"40","4.76032159776338e-32","5.03647400306049","0.872","0.148","2.93173926241453e-27","C10orf90"
"41","8.26061377850185e-32","5.16718653567268","1","0.304","5.08746420776594e-27","ENPP2"
"42","1.01563910042029e-31","3.73296206746456","0.923","0.157","6.25501652775845e-27","CERCAM"
"43","1.76404011326564e-31","4.61059186408602","0.564","0.037","1.08641938455691e-26","NINJ2"
"44","1.79833216317678e-31","4.9545154746056","0.897","0.176","1.10753882933568e-26","SELENOP"
"45","1.82482897221881e-31","3.85226707678677","0.744","0.089","1.1238574191204e-26","AIF1L"
"46","1.83329710635333e-31","2.42381504345473","0.667","0.056","1.12907268888983e-26","AC092958.1"
"47","2.31634162901698e-31","4.48619555709725","0.974","0.246","1.42656531906269e-26","CD9"
"48","1.27260777873714e-30","4.72907324737086","1","0.272","7.8376095269084e-26","EVI2A"
"49","2.61402821026012e-30","5.5600380358631","1","0.358","1.6099015538529e-25","TMEM144"
"50","3.37467262725601e-30","5.74307010694501","1","0.365","2.07835963094816e-25","TF"
"51","3.84404646381774e-30","6.06576957431983","1","0.384","2.36743289567143e-25","PLP1"
"52","4.60206879187881e-30","4.01429361022694","0.641","0.061","2.8342761068544e-25","AL358216.1"
"53","8.9693655990519e-30","4.77639027522648","0.949","0.225","5.5239631914881e-25","HSPA2"
"54","1.11133234943527e-29","1.94166941685059","1","0.244","6.84436254046697e-25","APOD"
"55","7.20182274903143e-29","2.91851559081436","0.41","0.014","4.43538657644599e-24","NULL"
"56","8.34563526168666e-29","5.27844274107177","0.615","0.059","5.13982638861496e-24","CYB5R2"
"57","2.35398916418237e-28","5.9309276762483","0.692","0.089","1.449751306545e-23","CTNNA3"
"58","2.37839825069688e-28","4.49322828749789","1","0.333","1.46478413065669e-23","FAM107B"
"59","3.06352723344053e-28","5.48210022568393","0.795","0.126","1.88673451725902e-23","LINC00320"
"60","4.17553725311796e-28","4.30956498174221","0.949","0.241","2.57158812807776e-23","CLMN"
"61","4.62517582398703e-28","4.26138916322337","0.59","0.054","2.84850703471889e-23","GALNT6"
"62","6.42353583204826e-28","6.94801190196456","0.692","0.096","3.95606301288356e-23","SH3TC2"
"63","6.75839211508306e-28","4.83947142253341","0.846","0.166","4.16229095191621e-23","ASPA"
"64","9.37282555344162e-28","2.00658071868752","1","0.265","5.77244207359809e-23","SPP1"
"65","1.02971777710186e-27","5.47102690099443","0.744","0.122","6.34172287383721e-23","NULL"
"66","1.84596629122878e-27","2.39603834252705","0.538","0.04","1.13687525977907e-22","TP53TG5"
"67","2.55865780063369e-27","3.87970086765696","0.923","0.222","1.57580057967627e-22","PLLP"
"68","3.7089484808868e-27","3.0987331757514","0.821","0.136","2.28423010092376e-22","TTYH2"
"69","4.14145969916144e-27","3.87295867096101","0.923","0.22","2.55060078492256e-22","PLEKHH1"
"70","5.94025110966897e-27","4.22809268699834","0.795","0.136","3.65842245091183e-22","TRIM59"
"71","6.66156376973312e-27","3.60668094738735","0.744","0.108","4.10265727886554e-22","SOX10"
"72","9.71507401179333e-27","5.61171809025362","0.615","0.07","5.98322263164316e-22","ADAMTS18"
"73","1.30120866271773e-26","2.78413850799323","0.872","0.155","8.01375379107969e-22","OLIG1"
"74","1.83457851839284e-26","4.00865692123494","0.769","0.122","1.1298618721226e-21","TMEM63A"
"75","1.6865151063534e-25","2.88448175302853","0.897","0.215","1.03867405854987e-20","GLDN"
"76","2.36296728459244e-25","4.83121822347016","1","0.628","1.45528066156194e-20","CLDND1"
"77","4.87442534215371e-25","4.56006457211336","1","0.361","3.0020123354722e-20","SEPT4"
"78","5.66519647034621e-25","3.57326923436904","1","0.724","3.48902455019212e-20","SOX2-OT"
"79","6.06542320162528e-25","2.85084477819561","0.718","0.101","3.73551218718496e-20","OLIG2"
"80","8.58472438471755e-25","4.91487795718166","1","0.454","5.287074206816e-20","MBP"
"81","9.50420387362624e-25","4.89219036247124","1","0.632","5.85335403965019e-20","PIP4K2A"
"82","1.29025982376924e-24","4.76726988026151","0.974","0.433","7.94632317664762e-20","QDPR"
"83","1.81194342820926e-24","4.27907384783503","0.564","0.056","1.11592159913124e-19","ZNF488"
"84","1.82807292484837e-24","4.1231679695736","0.974","0.333","1.12585527222636e-19","ERBB3"
"85","1.96494984993046e-24","2.65421136588182","0.718","0.108","1.21015366407667e-19","RTKN"
"86","2.51157434417121e-24","4.69621177990063","1","0.672","1.54680329134472e-19","CNP"
"87","2.61599216814442e-24","3.74246706088193","1","0.712","1.61111109659511e-19","SCD"
"88","2.84776544443672e-24","3.73912887059696","0.949","0.3","1.75385330426525e-19","RAPGEF5"
"89","6.53038911850325e-24","4.75261963865214","0.923","0.344","4.0218707464126e-19","LINC00844"
"90","7.01143969301086e-24","3.80071115009593","1","0.41","4.3181353637346e-19","SLAIN1"
"91","8.2057905886668e-24","4.32803241565562","0.923","0.377","5.05370024984222e-19","DOCK5"
"92","1.13127878618946e-23","6.01956088715984","1","0.651","6.96720666050502e-19","CLDN11"
"93","1.93504017165331e-23","3.67379443150233","1","0.799","1.19173319051612e-18","SLC12A2"
"94","1.9860326195728e-23","2.48590585832629","0.872","0.185","1.2231379094163e-18","EFHD1"
"95","3.60584294580737e-23","3.78080798332353","0.538","0.054","2.22073049503439e-18","TSPAN15"
"96","5.71460302754233e-23","2.88250324906566","0.923","0.222","3.51945256657249e-18","RGCC"
"97","8.9046444887158e-23","3.0628106998621","0.872","0.218","5.4841034012654e-18","KCNH8"
"98","9.98009921557702e-23","3.41620885650583","0.846","0.171","6.14644370389742e-18","LHPP"
"99","1.04683224162e-22","3.90767721145341","0.923","0.326","6.44712572646508e-18","CA2"
"100","1.07365946468464e-22","3.06127702777532","0.923","0.255","6.61234654515329e-18","PLEKHB1"
"101","1.5212204039085e-22","4.48721787229803","0.641","0.101","9.36874010155127e-18","PLPP2"
"102","1.62479676792983e-22","3.35763467655299","1","0.377","1.00066358546495e-17","CBR1"
"103","2.03636688628136e-22","6.36693558427223","0.359","0.019","1.2541372742541e-17","AC080128.1"
"104","3.29706239798476e-22","3.84389339025367","1","0.756","2.03056181904688e-17","SLC44A1"
"105","4.22158822974633e-22","2.46451338637979","0.359","0.019","2.59994954305387e-17","FOLH1B"
"106","4.82737946158627e-22","3.6999967746087","0.974","0.485","2.97303818900714e-17","PXK"
"107","5.02614954071002e-22","2.82475446079279","1","0.354","3.09545471763708e-17","S100B"
"108","5.72107481020665e-22","3.44368861176769","1","0.546","3.52343834336197e-17","CRYAB"
"109","6.61290318248798e-22","2.98590294521726","0.846","0.213","4.07268868299887e-17","SYNJ2"
