"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
1.67242238950586e-66,7.86470578698895,0.872,0.026,1.02999477702497e-61,"MAG"
4.45184916444365e-66,5.52412269286238,0.974,0.047,2.74176034490591e-61,"MOG"
1.03171068509492e-58,6.84808193934023,0.897,0.049,6.3539965962941e-54,"KLK6"
3.29474950891501e-51,5.22597256946973,0.949,0.084,2.02913738005549e-46,"TMEM88B"
7.44133865095563e-50,6.27545353840626,0.974,0.108,4.58289723496404e-45,"OPALIN"
3.54289647846543e-49,5.40947764528883,0.974,0.098,2.1819636541925e-44,"CARNS1"
1.43977442445019e-48,4.54113115310536,0.846,0.056,8.86713874786139e-44,"PPP1R14A"
4.04850210873614e-47,5.2959744679056,1,0.117,2.49335099370732e-42,"RNASE1"
2.59354749787069e-46,5.82386002647337,1,0.133,1.59728809751362e-41,"UGT8"
1.28028247796766e-45,4.57533552670949,0.769,0.049,7.88487569705944e-41,"GJB1"
2.50004041925141e-45,6.81553490147517,1,0.15,1.53969989300437e-40,"ERMN"
4.36376692018911e-45,5.34172173081344,0.923,0.098,2.68751313313687e-40,"CAPN3"
3.17784844726461e-44,5.44698488611104,0.923,0.096,1.95714152321685e-39,"MYRF"
6.30245445334019e-43,4.69371560683521,0.872,0.084,3.88149262417862e-38,"CDH19"
1.55739747979564e-41,6.76027525206598,0.974,0.162,9.59154385881741e-37,"CNDP1"
1.62464785064457e-40,4.94629922576588,0.923,0.117,1.00057187177647e-35,"SLCO1A2"
5.63663756540451e-39,5.74759993340516,0.897,0.122,3.47143597740568e-34,"AC018647.1"
6.98483300436809e-39,3.67290714823345,0.718,0.056,4.30174910240017e-34,"FA2H"
1.37482888184529e-38,4.93371302939642,0.897,0.115,8.46715863462061e-34,"LPAR1"
5.01060832557213e-38,5.99120087570095,0.923,0.126,3.08588334947011e-33,"DBNDD2"
1.60148599707119e-37,7.36338639512946,0.744,0.07,9.86307181016231e-33,"FOLH1"
1.73435093854648e-37,5.52630631850142,0.462,0.009,1.06813471252262e-32,"SLC5A11"
5.05965567764877e-36,4.29983118135288,1,0.19,3.11609014219355e-31,"GPR37"
8.97979007962832e-36,4.6544402086189,0.897,0.122,5.53038331634069e-31,"MAL"
4.46846201094502e-35,6.14458404713631,0.923,0.171,2.75199169868071e-30,"ABCA8"
5.84730104831964e-35,3.60132158731604,0.564,0.028,3.60117729662862e-30,"TMEM125"
1.06739457870914e-34,3.70824576026306,1,0.187,6.57376299189598e-30,"ST18"
