"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
"1","3.83498545389987e-43","6.65951693118258","0.667","0.035","2.36185249149331e-38","HLA-DRA"
"2","1.6267895185784e-39","7.38844859375632","0.595","0.028","1.00189086080688e-34","GPR34"
"3","7.48641130834134e-38","7.11852887815107","0.524","0.019","4.61065613246818e-33","AIF1"
"4","1.4329900230343e-35","7.4461498690254","0.548","0.028","8.82535565486137e-31","ALOX5AP"
"5","1.17540979049111e-34","6.10390513053337","0.429","0.009","7.2389962766976e-30","C1QA"
"6","3.88444107024056e-34","8.13572348596626","0.595","0.042","2.39231072192905e-29","OLR1"
"7","4.43666618493001e-34","4.96173159854753","0.476","0.017","2.73240960331285e-29","TYROBP"
"8","1.28482014800169e-33","5.15226187371984","0.381","0.005","7.91282184549803e-29","HLA-DMB"
"9","1.71879033476693e-33","7.32471718684691","0.619","0.05","1.05855140347291e-28","ADAM28"
"10","2.70751410354325e-33","9.53901419979491","0.571","0.04","1.66747671094918e-28","RGS1"
"11","1.55125024317881e-32","5.77376356234029","0.548","0.033","9.55368487266531e-28","HLA-DPA1"
"12","1.6472477630766e-32","8.30418623244137","0.524","0.031","1.01449047984598e-27","C3AR1"
"13","2.47084190675151e-32","7.51244941251862","0.571","0.042","1.52171740511105e-27","PLEK"
"14","3.96049392011763e-32","6.79024290440581","0.524","0.031","2.43914939058284e-27","PTPRC"
"15","7.45341449961584e-32","4.36772938055093","0.405","0.009","4.59033438787841e-27","C1QC"
"16","2.05165040109764e-31","7.23719728628357","0.429","0.014","1.26354993252401e-26","BCL2A1"
"17","5.93442746511957e-31","6.35631484102632","0.452","0.019","3.65483584294319e-26","CD86"
"18","1.60969159252637e-30","7.45183186239622","0.524","0.035","9.91360761089214e-26","MS4A7"
"19","2.13246242103509e-30","7.15683444450914","0.595","0.054","1.31331963124288e-25","ITGAX"
"20","2.58436269464479e-30","5.87954688667001","0.524","0.035","1.59163145275089e-25","LAPTM5"
