"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
"67","4.63948583137731e-41","4.4138623880226","0.945","0.254","2.85732013897034e-36","PSD2"
"68","5.54598326074793e-41","5.51606261649831","0.589","0.036","3.41560471079683e-36","AL159152.1"
"69","6.19475733373619e-41","3.90551373299161","0.808","0.122","3.81516519912811e-36","RHOJ"
"70","7.17920220441872e-41","4.35257968779766","0.767","0.109","4.42145526163536e-36","EMX2OS"
"71","9.81258044560304e-41","4.34494726531624","0.822","0.14","6.04327391903354e-36","HEPACAM"
"72","1.1200912315131e-40","3.7486508407546","0.918","0.237","6.89830586751973e-36","MT1X"
"73","1.26637613220842e-40","5.04551768199681","0.685","0.069","7.79923068543197e-36","AL109809.1"
"74","1.5691552709756e-40","3.60899128430829","0.959","0.257","9.66395656735745e-36","GPAM"
"75","2.08674391245486e-40","3.99850011326939","0.822","0.127","1.28516297336358e-35","HEPH"
"76","2.51799699222415e-40","4.11008447332684","1","0.387","1.55075880760109e-35","PREX2"
"77","3.2166305331574e-40","3.6637185604349","0.685","0.066","1.98102624645564e-35","MT1M"
"78","3.51133001006295e-40","3.26787946927202","0.959","0.27","2.16252281329747e-35","MT2A"
"79","4.77965194086477e-40","4.48351615263133","0.671","0.066","2.94364424082038e-35","MYBPC1"
"80","6.93385693874767e-40","4.44924762724014","0.685","0.069","4.27035447286653e-35","AIFM3"
"81","9.20297039867652e-40","5.74388567909795","0.74","0.102","5.66783337943291e-35","FAM189A2"
"82","1.19523940020524e-39","3.52014966048925","0.959","0.252","7.36112089404402e-35","GRAMD2B"
"83","1.28500728072293e-39","3.7807581279198","0.89","0.193","7.91397433978834e-35","RFX4"
"84","1.79416542873005e-39","7.20814184659195","0.575","0.036","1.10497266259198e-34","CHI3L1"
"85","2.50431090793392e-39","3.75837177460161","1","0.598","1.54232995886927e-34","SPARCL1"
"86","3.25184486445068e-39","5.46482831948372","0.726","0.099","2.00271369666924e-34","AQP4-AS1"
"87","3.4395922111915e-39","4.25081275792498","0.973","0.356","2.11834165510651e-34","CST3"
"88","3.69338612604622e-39","3.5804180787992","0.918","0.224","2.27464571344808e-34","ID4"
"89","4.12077369356894e-39","3.72604480514029","0.986","0.458","2.5378608946583e-34","CARMIL1"
"90","7.78276871656434e-39","3.71740807660409","0.822","0.132","4.79317376947048e-34","AC093535.2"
"91","7.8609677684746e-39","4.07660378273091","0.959","0.364","4.84133421957045e-34","MT3"
"92","1.50383814986646e-38","0.825927841953455","0.644","0.056","9.26168801358257e-34","GLULP3"
"93","2.54266593162052e-38","3.88995157380287","0.986","0.73","1.56595166730713e-33","ATP1B2"
"94","2.84894020808095e-38","4.54908008581997","0.699","0.084","1.75457680595081e-33","TTYH1"
"95","2.99192059439424e-38","4.68911163007688","0.795","0.132","1.84263413646958e-33","LINC00299"
"96","4.9359123932649e-38","3.5966560206716","0.986","0.435","3.03988036564006e-33","PON2"
"97","7.30086985988544e-38","6.04461418660195","0.685","0.092","4.49638672060764e-33","RNF219-AS1"
"98","1.87819765115918e-37","4.24682289366462","1","0.69","1.1567255874194e-32","CLU"
"99","1.9889712103482e-37","4.71636360487935","0.671","0.076","1.22494769931715e-32","RGS20"
"100","2.74039217749985e-37","2.18875421171813","0.973","0.282","1.68772533035683e-32","PTGDS"
"101","2.93886837879473e-37","3.88369786046277","0.671","0.074","1.80996086844831e-32","THSD1"
"102","3.82577011529665e-37","3.38648120972042","0.822","0.155","2.35617704090775e-32","LGI4"
"103","4.17771390291221e-37","3.12396088074067","0.685","0.076","2.57292866138655e-32","NKAIN4"
"104","4.93292664768877e-37","3.58628646931517","0.959","0.313","3.03804153451208e-32","SERPINE2"
"105","5.00756935288584e-37","4.60980719545081","0.685","0.092","3.0840117373618e-32","PLTP"
"106","5.87460636849401e-37","5.43826706538597","0.671","0.079","3.61799382416441e-32","OAF"
"107","6.11722679109946e-37","5.22692898201554","0.534","0.031","3.76741646383443e-32","RPL31P54"
"108","7.26733432499545e-37","4.09368652106682","0.767","0.132","4.47573319073495e-32","ABCC9"
"109","7.347184463627e-37","2.83986813593018","0.836","0.163","4.52491049561396e-32","GLI3"
"110","8.34681134576873e-37","4.00246344204485","0.932","0.298","5.14055070351858e-32","HIF3A"
"111","1.69927400073409e-36","2.90265670894368","0.63","0.061","1.0465318788321e-31","PYGM"
"112","2.53630317215328e-36","3.16675964307721","0.89","0.211","1.56203303463404e-31","GABRG1"
"113","3.79838832313502e-36","3.45213547710054","0.849","0.178","2.33931341656916e-31","TPCN1"
"114","6.51403703752393e-36","5.84078661383625","0.521","0.031","4.01179999029986e-31","PRSS35"
"115","7.74555650807209e-36","4.91182350781287","0.603","0.059","4.77025588662636e-31","GPC5"
"116","1.48280244867118e-35","4.06418706822593","0.781","0.15","9.13213544063118e-31","ACSS1"
"117","1.49142432502972e-35","3.56510243514217","0.685","0.089","9.18523499056051e-31","LINC01748"
"118","1.49461065692162e-35","1.76764460153196","0.836","0.158","9.20485865278318e-31","IFITM3"
"119","1.78674075358543e-35","2.65374204361267","0.89","0.232","1.10040002791066e-30","KCNJ10"
"120","2.1591063024156e-35","3.32550013494813","0.986","0.425","1.32972879846869e-30","RYR3"
"121","2.75598132244982e-35","3.19946266356928","0.712","0.104","1.69732621705717e-30","S100A13"
"122","2.88771900437144e-35","2.69072491826699","0.795","0.13","1.77845950322224e-30","AHNAK"
"123","3.34576875847947e-35","3.6578000518924","0.863","0.191","2.06055860528475e-30","AC002429.2"
"124","4.19166255862528e-35","3.75963997028275","0.616","0.064","2.58151921998055e-30","P2RY1"
"125","4.24629699825903e-35","5.43606206985447","0.685","0.094","2.61516693231779e-30","HSD17B6"
"126","5.72102441805376e-35","3.54227296325634","0.973","0.468","3.52340730834677e-30","ALDOC"
"127","7.17085621990918e-35","5.07010962635506","0.562","0.048","4.41631522015547e-30","GNA14"
"128","7.22887612825974e-35","3.27873777967781","0.712","0.109","4.45204794111132e-30","MT1F"
"129","9.97163051125497e-35","3.11376910224601","0.671","0.081","6.1412280829666e-30","TTPA"
"130","1.35683280297092e-34","3.27510943823304","1","0.486","8.356326183657e-30","GABRA2"
"131","2.36328956787907e-34","2.57903225956552","0.986","0.372","1.45547914616968e-29","FAM107A"
"132","2.98478403815802e-34","4.6785824247937","0.822","0.186","1.83823894558038e-29","WIF1"
"133","3.43284307406483e-34","3.89082412129007","0.658","0.084","2.11418506402431e-29","YAP1"
"134","6.45736496724888e-34","4.10856551002196","0.589","0.061","3.97689736237957e-29","GRIN2C"
"135","2.01192338657327e-33","4.90436017743755","0.712","0.122","1.23908325608888e-28","PLIN5"
"136","2.21269119369641e-33","4.06303278210775","0.795","0.16","1.36273012546181e-28","SPON1"
"137","2.92079718072894e-33","3.23661145433561","1","0.735","1.79883135969553e-28","GLUL"
"138","3.36190644734203e-33","3.19967172804125","0.973","0.3","2.07049732372454e-28","TP53BP2"
"139","4.79461207140897e-33","3.42623772057967","0.74","0.13","2.95285773641864e-28","ZIC2"
"140","1.30324778105068e-32","1.09471711356686","0.726","0.107","8.02631210915684e-28","FAM198B"
"141","1.74297906812873e-32","4.32941266925457","0.466","0.025","1.07344851868844e-27","AC007325.2"
"142","1.95791588168597e-32","3.42158877076724","1","0.674","1.20582165405394e-27","GLUD1"
"143","2.32810994048662e-32","3.95379951881972","0.849","0.214","1.43381306904749e-27","ACACB"
"144","2.50374216405245e-32","3.26597229991223","0.863","0.221","1.54197968657499e-27","ITPKB"
"145","2.82401715147086e-32","3.15001557427171","1","0.852","1.73922744307636e-27","CPE"
"146","3.32651716362084e-32","5.04121688921208","0.452","0.025","2.04870212555917e-27","F11-AS1"
"147","3.57572541792056e-32","3.23170700250733","0.973","0.43","2.20218201313473e-27","DDAH1"
"148","3.81566593623565e-32","2.82447249085489","0.822","0.186","2.34995418014945e-27","LGR4"
"149","4.51290171606928e-32","2.87384008358158","0.959","0.308","2.77936077987559e-27","NDRG2"
"150","6.61658828205213e-32","2.93150440086946","0.945","0.359","4.07495822526745e-27","SOX9"
"151","7.99342602296752e-32","2.21404250700058","0.904","0.239","4.92291128476501e-27","HES1"
"152","8.45927180100802e-32","2.48277581408476","0.781","0.15","5.20981172408681e-27","BMP7"
"153","8.83921300901809e-32","3.60739912069036","0.795","0.196","5.44380611586397e-27","SNTA1"
"154","9.46732801251088e-32","3.89284946387812","0.534","0.046","5.83064330306508e-27","ACKR3"
"155","1.08020571353245e-31","2.28325456761693","0.945","0.298","6.65266292793232e-27","LRP4"
"156","1.10146448615492e-31","2.44528937288919","1","0.458","6.78358933088231e-27","AXL"
"157","1.20083037949006e-31","3.15890687002845","0.918","0.277","7.39555405816545e-27","ANKDD1A"
"158","1.42523235017463e-31","2.58205177427487","1","0.644","8.77757847502047e-27","DTNA"
